tr_tra_name_2018,Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT
Fraser Coast,2013-01-01,0,0,755,0,0,0,0,0
Gold Coast,2013-01-01,644,0,5430,0,0,0,0,np
Mackay,2013-01-01,0,0,977,0,0,0,0,0
Townsville,2013-01-01,0,0,1238,0,0,0,0,0
Sunshine Coast,2013-01-01,np,0,5939,0,0,0,0,0
Tropical North Queensland,2013-01-01,0,0,2565,0,0,0,0,0
Capricorn,2013-01-01,0,0,1339,0,0,0,0,0
Adelaide,2013-01-01,np,np,0,4098,0,0,0,0
Adelaide Hills,2013-01-01,0,0,0,870,0,0,0,0
Barossa,2013-01-01,0,0,0,679,0,0,0,0
Clare Valley,2013-01-01,0,0,0,206,0,0,0,0
Eyre Peninsula,2013-01-01,0,0,0,320,0,0,0,0
Fleurieu Peninsula,2013-01-01,np,0,0,2219,0,0,0,0
Limestone Coast,2013-01-01,0,np,0,527,0,0,0,0
Murraylands,2013-01-01,0,0,0,716,0,0,0,0
Riverland,2013-01-01,0,np,0,409,0,0,0,0
Yorke Peninsula,2013-01-01,0,0,0,507,0,0,0,0
Flinders Ranges and Outback,2013-01-01,0,0,0,546,0,0,np,0
Experience Perth,2013-01-01,np,0,0,0,9898,0,0,0
Australia's Golden Outback,2013-01-01,0,0,0,0,740,0,0,0
Australia's South West,2013-01-01,0,0,0,0,2980,0,0,0
Australia's Coral Coast,2013-01-01,0,0,0,0,793,0,0,0
Hobart and the South,2013-01-01,0,np,0,0,0,2009,0,0
East Coast,2013-01-01,0,0,0,0,0,214,0,0
Launceston and the North,2013-01-01,np,0,0,0,0,1711,0,0
North West,2013-01-01,0,0,0,0,0,907,0,0
Darwin,2013-01-01,0,0,0,0,0,0,419,0
Litchfield Kakadu Arnhem,2013-01-01,0,0,0,0,0,0,299,0
Katherine Daly,2013-01-01,0,0,0,0,0,0,153,0
Canberra,2013-01-01,1368,np,np,np,0,np,0,np
Sydney,2014-01-01,20113,np,np,np,np,np,np,np
Blue Mountains,2014-01-01,2470,0,0,0,0,0,0,np
Capital Country,2014-01-01,1490,0,0,0,0,0,np,474
Central Coast,2014-01-01,3413,0,0,0,0,0,0,np
Central NSW,2014-01-01,2783,0,0,np,0,0,0,np
Hunter,2014-01-01,5738,0,0,0,0,0,0,0
New England North West,2014-01-01,1510,0,np,0,0,0,0,0
North Coast NSW,2014-01-01,4264,0,1299,0,0,0,np,0
Riverina,2014-01-01,1265,np,0,0,0,0,np,np
South Coast,2014-01-01,5397,np,0,0,0,0,0,np
The Murray,2014-01-01,471,660,0,0,0,0,0,np
Melbourne,2014-01-01,np,14738,np,np,0,np,0,np
Ballarat,2014-01-01,0,1665,0,0,0,0,0,0
Bendigo Loddon,2014-01-01,np,1946,0,0,0,0,0,0
Central Murray,2014-01-01,np,715,0,0,0,0,0,0
Geelong and the Bellarine,2014-01-01,np,3076,0,0,0,0,0,0
Gippsland,2014-01-01,0,2595,0,0,0,0,0,0
Goulburn,2014-01-01,np,1154,0,0,0,0,0,0
Great Ocean Road,2014-01-01,0,2316,0,np,0,0,0,0
High Country,2014-01-01,np,1273,0,0,0,0,0,np
Lakes,2014-01-01,np,386,0,0,0,0,0,0
Macedon,2014-01-01,0,989,0,0,0,0,0,0
Mallee,2014-01-01,np,368,0,np,0,0,0,0
Melbourne East,2014-01-01,0,3008,0,0,0,0,0,0
Peninsula,2014-01-01,0,3708,0,np,0,0,0,0
Phillip Island,2014-01-01,0,1368,0,0,0,0,0,0
Spa Country,2014-01-01,0,558,0,0,0,0,0,0
Upper Yarra,2014-01-01,np,433,0,0,0,0,0,0
Western Grampians,2014-01-01,0,331,0,np,0,0,0,0
Brisbane,2014-01-01,928,np,12767,0,0,0,0,np
Bundaberg,2014-01-01,0,0,925,0,0,0,0,0
Southern Queensland Country,2014-01-01,np,0,3110,0,0,0,0,0
Fraser Coast,2014-01-01,0,0,737,0,0,0,0,0
Gold Coast,2014-01-01,679,0,5856,0,0,0,0,0
Mackay,2014-01-01,0,0,860,0,0,0,0,0
Townsville,2014-01-01,0,0,1432,0,0,0,0,0
Sunshine Coast,2014-01-01,np,np,5515,0,0,0,0,0
Tropical North Queensland,2014-01-01,0,0,1971,0,0,0,0,0
Capricorn,2014-01-01,0,0,1258,0,0,0,0,0
Adelaide,2014-01-01,np,np,np,4121,0,0,np,0
Adelaide Hills,2014-01-01,0,0,0,981,0,0,0,0
Barossa,2014-01-01,0,0,0,829,0,0,0,0
Clare Valley,2014-01-01,0,0,0,244,0,0,0,0
Eyre Peninsula,2014-01-01,0,0,0,298,0,0,0,0
Fleurieu Peninsula,2014-01-01,0,0,0,2544,0,0,0,0
Limestone Coast,2014-01-01,0,np,0,440,0,0,0,0
Murraylands,2014-01-01,0,np,0,719,0,0,0,0
Riverland,2014-01-01,0,np,0,460,0,0,0,0
Yorke Peninsula,2014-01-01,0,0,0,486,0,0,0,0
Flinders Ranges and Outback,2014-01-01,0,0,0,576,0,0,np,0
Experience Perth,2014-01-01,0,np,0,np,11850,0,0,0
Australia's Golden Outback,2014-01-01,0,0,0,0,880,0,0,0
Australia's North West,2014-01-01,0,0,0,0,450,0,0,0
Australia's South West,2014-01-01,0,0,0,0,3498,0,0,0
Australia's Coral Coast,2014-01-01,0,0,0,0,851,0,0,0
Hobart and the South,2014-01-01,0,np,0,0,0,2234,0,0
East Coast,2014-01-01,0,0,0,0,0,296,0,0
Launceston and the North,2014-01-01,0,0,0,0,0,1533,0,0
North West,2014-01-01,0,0,0,0,0,1053,0,0
Darwin,2014-01-01,0,0,0,0,0,0,392,0
Litchfield Kakadu Arnhem,2014-01-01,0,0,0,0,0,0,361,0
Canberra,2014-01-01,1371,np,0,0,0,0,0,np
Sydney,2015-01-01,16677,np,np,np,0,0,0,np
Blue Mountains,2015-01-01,2565,0,0,0,0,0,0,0
Capital Country,2015-01-01,1946,np,0,0,0,0,0,588
Central Coast,2015-01-01,3212,0,0,0,0,0,0,0
Central NSW,2015-01-01,2749,np,np,0,np,0,0,np
Hunter,2015-01-01,6084,0,np,0,0,0,0,np
New England North West,2015-01-01,1707,0,np,0,0,np,0,0
North Coast NSW,2015-01-01,4394,0,1907,0,0,0,0,0
Riverina,2015-01-01,1461,np,0,0,0,0,0,np
South Coast,2015-01-01,6215,np,np,0,0,0,0,np
The Murray,2015-01-01,605,601,0,0,0,0,0,0
Melbourne,2015-01-01,np,14847,0,np,0,np,0,np
Ballarat,2015-01-01,np,1891,0,0,0,0,0,0
Bendigo Loddon,2015-01-01,np,2176,0,0,0,np,0,0
Central Highlands,2015-01-01,0,417,0,np,0,0,0,0
Central Murray,2015-01-01,np,622,0,0,0,0,0,0
Geelong and the Bellarine,2015-01-01,np,2947,0,0,0,0,0,0
Gippsland,2015-01-01,np,2690,0,np,0,np,0,0
Goulburn,2015-01-01,np,1212,0,0,0,0,0,0
Great Ocean Road,2015-01-01,0,2389,0,np,0,0,0,0
High Country,2015-01-01,np,1220,0,0,0,0,0,0
Lakes,2015-01-01,0,518,0,0,0,0,0,0
Macedon,2015-01-01,0,1144,0,0,0,0,0,0
Mallee,2015-01-01,np,407,0,np,0,0,0,0
Melbourne East,2015-01-01,0,3002,0,0,0,0,0,0
Peninsula,2015-01-01,0,4157,0,0,0,0,0,0
Phillip Island,2015-01-01,0,1098,0,0,0,0,0,0
Spa Country,2015-01-01,0,592,0,np,0,0,0,0
Upper Yarra,2015-01-01,0,602,0,0,0,0,0,0
Western Grampians,2015-01-01,0,513,0,np,0,0,0,0
Brisbane,2015-01-01,521,0,12995,0,0,0,0,np
Bundaberg,2015-01-01,0,0,776,0,0,0,0,0
Southern Queensland Country,2015-01-01,np,0,3428,0,0,0,0,0
Fraser Coast,2015-01-01,np,0,642,0,0,0,0,0
Gold Coast,2015-01-01,386,np,6161,0,0,0,0,0
Mackay,2015-01-01,0,0,833,0,0,0,0,0
Townsville,2015-01-01,0,0,1806,0,0,0,0,0
Outback Queensland,2015-01-01,np,0,773,np,0,0,np,0
Sunshine Coast,2015-01-01,np,0,5624,0,0,0,0,0
Tropical North Queensland,2015-01-01,0,0,2425,np,0,0,0,0
Capricorn,2015-01-01,0,0,1322,0,0,0,0,0
Adelaide,2015-01-01,np,np,0,3909,0,0,0,0
Adelaide Hills,2015-01-01,0,0,0,974,0,0,0,0
Barossa,2015-01-01,0,0,0,661,0,0,0,0
Clare Valley,2015-01-01,0,0,0,294,0,0,0,0
Eyre Peninsula,2015-01-01,0,0,0,341,0,0,0,0
Fleurieu Peninsula,2015-01-01,0,0,0,2082,0,0,0,0
Limestone Coast,2015-01-01,0,np,0,562,0,0,0,0
Murraylands,2015-01-01,0,0,0,931,0,0,0,0
Riverland,2015-01-01,0,np,0,410,0,0,0,0
Yorke Peninsula,2015-01-01,np,0,0,558,0,0,0,0
Flinders Ranges and Outback,2015-01-01,0,0,0,653,0,0,0,0
Experience Perth,2015-01-01,0,0,0,0,14118,0,0,0
Australia's Golden Outback,2015-01-01,0,0,0,0,1045,0,0,0
Australia's South West,2015-01-01,0,0,0,0,3561,0,0,0
Australia's Coral Coast,2015-01-01,0,0,0,0,1043,0,0,0
Hobart and the South,2015-01-01,0,np,0,0,0,1927,0,0
Launceston and the North,2015-01-01,0,np,0,0,0,1874,0,0
North West,2015-01-01,0,0,0,0,0,1200,0,0
Darwin,2015-01-01,0,0,np,0,0,0,654,0
Litchfield Kakadu Arnhem,2015-01-01,0,0,np,0,0,0,426,0
Canberra,2015-01-01,1413,np,np,0,0,0,0,332
Sydney,2016-01-01,19756,np,np,np,0,0,0,413
Blue Mountains,2016-01-01,3009,0,0,0,0,0,0,np
Capital Country,2016-01-01,1871,np,0,0,0,0,0,490
Central Coast,2016-01-01,3293,np,0,0,0,0,0,np
Central NSW,2016-01-01,2571,np,np,np,0,0,0,np
Hunter,2016-01-01,6568,0,0,0,0,0,0,np
New England North West,2016-01-01,1464,0,np,0,0,0,0,0
North Coast NSW,2016-01-01,4730,np,1873,0,0,0,0,0
Riverina,2016-01-01,1087,np,0,0,0,0,0,np
South Coast,2016-01-01,6769,np,0,0,0,0,0,np
The Murray,2016-01-01,340,577,0,0,0,0,0,0
Melbourne,2016-01-01,np,16390,0,np,0,np,np,np
Ballarat,2016-01-01,np,1848,0,0,0,0,0,0
Bendigo Loddon,2016-01-01,np,2191,0,0,0,0,0,0
Central Murray,2016-01-01,np,687,0,0,0,0,0,0
Geelong and the Bellarine,2016-01-01,0,2982,0,np,0,0,0,0
Gippsland,2016-01-01,0,2865,0,0,0,0,0,0
Goulburn,2016-01-01,np,1079,0,0,0,0,0,0
Great Ocean Road,2016-01-01,0,3067,0,np,0,0,0,0
High Country,2016-01-01,np,1118,0,0,0,0,0,0
Lakes,2016-01-01,0,425,0,0,0,0,0,0
Macedon,2016-01-01,0,1202,0,0,0,0,0,0
Melbourne East,2016-01-01,np,3968,0,0,0,0,0,0
Peninsula,2016-01-01,np,4176,0,0,0,0,0,0
Phillip Island,2016-01-01,0,1311,0,0,0,0,0,0
Spa Country,2016-01-01,0,675,0,0,0,0,0,0
Upper Yarra,2016-01-01,0,692,0,0,0,0,0,0
Western Grampians,2016-01-01,0,356,0,np,0,0,0,0
Brisbane,2016-01-01,815,np,14744,np,0,0,0,0
Bundaberg,2016-01-01,0,0,667,0,0,0,0,0
Southern Queensland Country,2016-01-01,np,0,3537,0,0,0,0,0
Fraser Coast,2016-01-01,0,0,710,0,0,0,0,0
Gold Coast,2016-01-01,488,np,6599,0,0,0,0,np
Mackay,2016-01-01,0,0,736,0,0,0,0,0
Townsville,2016-01-01,0,np,1828,np,0,0,0,0
Sunshine Coast,2016-01-01,np,0,6165,0,0,0,0,0
Tropical North Queensland,2016-01-01,0,np,2252,0,0,0,0,0
Capricorn,2016-01-01,0,0,1225,0,0,0,0,0
Gladstone,2016-01-01,0,0,412,0,0,0,0,0
Adelaide,2016-01-01,np,np,np,4608,0,0,0,0
Adelaide Hills,2016-01-01,0,0,0,1305,0,0,0,0
Barossa,2016-01-01,0,np,0,729,0,0,0,0
Clare Valley,2016-01-01,0,0,0,335,0,0,0,0
Eyre Peninsula,2016-01-01,0,0,0,400,0,0,0,0
Fleurieu Peninsula,2016-01-01,0,0,0,2736,0,0,0,0
Limestone Coast,2016-01-01,0,np,0,616,0,0,0,0
Murraylands,2016-01-01,0,np,0,710,0,0,0,0
Riverland,2016-01-01,0,np,0,514,0,0,0,0
Yorke Peninsula,2016-01-01,0,0,0,506,0,0,0,0
Flinders Ranges and Outback,2016-01-01,0,0,0,762,0,0,0,0
Experience Perth,2016-01-01,np,0,0,0,14150,0,0,0
Australia's Golden Outback,2016-01-01,0,0,0,np,945,0,0,0
Australia's South West,2016-01-01,0,0,0,0,3632,0,0,0
Australia's Coral Coast,2016-01-01,0,0,0,0,1000,0,0,0
Hobart and the South,2016-01-01,np,np,0,0,0,2077,0,np
East Coast,2016-01-01,0,0,0,0,0,387,0,0
Launceston and the North,2016-01-01,0,np,np,0,0,1987,0,0
North West,2016-01-01,0,np,0,0,0,1224,0,0
Darwin,2016-01-01,0,0,0,0,0,0,557,0
Litchfield Kakadu Arnhem,2016-01-01,0,0,0,0,0,0,413,0
Katherine Daly,2016-01-01,0,0,0,0,np,0,244,0
Canberra,2016-01-01,1394,np,np,np,0,0,0,475
Sydney,2017-01-01,18857,np,np,np,0,0,0,365
Blue Mountains,2017-01-01,2926,0,0,0,0,0,0,0
Capital Country,2017-01-01,2140,0,0,0,0,0,0,622
Central Coast,2017-01-01,3387,0,0,0,0,0,0,np
Central NSW,2017-01-01,3036,np,np,0,0,0,0,np
Hunter,2017-01-01,6634,0,np,0,0,0,0,0
New England North West,2017-01-01,1628,0,np,0,0,0,0,0
North Coast NSW,2017-01-01,4891,0,2146,0,0,0,0,0
Riverina,2017-01-01,1372,np,0,np,0,0,0,np
Snowy Mountains,2017-01-01,371,np,0,0,0,0,0,np
South Coast,2017-01-01,5770,np,0,0,0,0,0,np
The Murray,2017-01-01,555,615,0,0,0,0,0,np
Melbourne,2017-01-01,np,15729,np,np,0,np,0,np
Ballarat,2017-01-01,0,1964,0,0,0,0,0,0
Bendigo Loddon,2017-01-01,np,2513,0,0,0,0,0,0
Central Highlands,2017-01-01,0,373,0,np,0,0,0,0
Central Murray,2017-01-01,np,726,0,0,0,0,0,0
Geelong and the Bellarine,2017-01-01,np,3815,0,0,0,0,0,0
Gippsland,2017-01-01,np,3052,0,0,0,0,0,0
Goulburn,2017-01-01,np,1286,0,0,0,0,0,0
Great Ocean Road,2017-01-01,0,2675,0,np,0,0,0,0
High Country,2017-01-01,np,1563,0,0,0,0,0,0
Lakes,2017-01-01,0,534,0,0,0,0,0,0
Macedon,2017-01-01,0,1196,0,0,0,0,0,0
Mallee,2017-01-01,np,401,0,np,0,0,0,0
Melbourne East,2017-01-01,np,3504,0,0,0,0,0,0
Peninsula,2017-01-01,0,4684,0,0,0,0,0,0
Phillip Island,2017-01-01,np,1343,0,0,0,0,0,0
Spa Country,2017-01-01,0,729,0,0,0,0,0,0
Upper Yarra,2017-01-01,0,641,0,0,0,0,0,0
Western Grampians,2017-01-01,0,495,0,np,0,0,0,0
Brisbane,2017-01-01,643,np,14367,np,0,0,0,np
Bundaberg,2017-01-01,0,0,669,0,0,0,0,0
Southern Queensland Country,2017-01-01,np,0,3313,0,0,0,0,0
Fraser Coast,2017-01-01,0,0,816,0,0,0,0,0
Gold Coast,2017-01-01,547,np,5619,0,0,0,0,0
Mackay,2017-01-01,0,0,686,np,0,0,0,0
Townsville,2017-01-01,0,0,1848,0,0,0,0,0
Outback Queensland,2017-01-01,np,0,596,0,0,0,0,0
Sunshine Coast,2017-01-01,np,0,6048,0,0,0,0,0
Tropical North Queensland,2017-01-01,0,0,2328,0,0,0,0,0
Capricorn,2017-01-01,0,0,1460,0,0,0,0,0
Adelaide,2017-01-01,np,np,0,4581,np,0,0,0
Adelaide Hills,2017-01-01,0,0,0,1120,np,0,0,0
Barossa,2017-01-01,0,0,0,851,0,0,0,0
Clare Valley,2017-01-01,0,0,0,351,0,0,0,0
Eyre Peninsula,2017-01-01,0,0,0,414,0,0,0,0
Fleurieu Peninsula,2017-01-01,np,0,0,2505,0,0,0,0
Limestone Coast,2017-01-01,0,np,0,590,0,0,0,0
Murraylands,2017-01-01,0,np,0,771,0,0,0,0
Riverland,2017-01-01,np,np,0,401,0,0,0,0
Yorke Peninsula,2017-01-01,0,0,0,600,0,0,0,0
Flinders Ranges and Outback,2017-01-01,0,0,0,619,0,0,0,0
Experience Perth,2017-01-01,np,np,0,0,13251,0,0,0
Australia's Golden Outback,2017-01-01,0,0,0,0,1060,0,0,0
Australia's North West,2017-01-01,0,0,0,np,442,0,0,0
Australia's South West,2017-01-01,0,0,0,0,3714,0,0,0
Australia's Coral Coast,2017-01-01,0,0,0,0,1117,0,0,0
Hobart and the South,2017-01-01,np,np,0,0,0,1939,0,0
East Coast,2017-01-01,0,0,0,0,0,287,0,0
Launceston and the North,2017-01-01,0,np,0,0,np,2144,0,0
North West,2017-01-01,0,0,0,0,0,1155,0,0
Darwin,2017-01-01,0,0,0,0,0,0,643,0
Litchfield Kakadu Arnhem,2017-01-01,0,0,0,0,0,0,458,0
Katherine Daly,2017-01-01,0,0,0,0,0,0,251,0
Canberra,2017-01-01,1699,np,np,np,0,np,0,np
