tr_tra_name_2018,Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT
Australia's South West,2014-01-01,np,np,np,np,2335,np,np,np
Australia's Coral Coast,2014-01-01,np,np,np,np,768,np,np,0
Hobart and the South,2014-01-01,237,281,np,np,np,439,np,np
East Coast,2014-01-01,np,np,np,np,np,207,np,np
Launceston and the North,2014-01-01,np,137,np,np,np,297,np,np
North West,2014-01-01,np,129,np,np,np,214,np,np
West Coast,2014-01-01,np,np,np,np,np,48,np,np
Darwin,2014-01-01,117,76,np,np,np,np,144,np
Alice Springs,2014-01-01,np,np,np,np,np,np,43,np
Litchfield Kakadu Arnhem,2014-01-01,np,np,np,np,np,np,120,0
Katherine Daly,2014-01-01,np,np,np,np,np,np,156,0
Canberra,2014-01-01,1452,342,248,64,np,np,np,np
Sydney,2015-01-01,4304,1593,1298,297,413,107,48,561
Blue Mountains,2015-01-01,755,np,np,np,np,np,0,np
Capital Country,2015-01-01,751,108,np,np,np,np,np,np
Central Coast,2015-01-01,1028,np,np,np,np,np,np,np
Central NSW,2015-01-01,1487,179,182,np,np,np,np,np
Hunter,2015-01-01,2567,165,210,np,np,np,np,np
New England North West,2015-01-01,974,np,278,np,np,np,np,np
North Coast NSW,2015-01-01,2874,261,1415,np,np,np,np,82
Outback NSW,2015-01-01,274,np,np,np,np,np,np,np
Riverina,2015-01-01,620,211,np,np,np,np,np,np
Snowy Mountains,2015-01-01,474,np,np,np,np,np,np,np
South Coast,2015-01-01,2420,278,109,np,np,np,np,439
The Murray,2015-01-01,271,598,np,np,np,np,np,np
Melbourne,2015-01-01,2257,2966,974,608,521,329,79,208
Ballarat,2015-01-01,np,466,np,np,np,np,np,np
Bendigo Loddon,2015-01-01,np,748,np,np,np,np,np,np
Central Highlands,2015-01-01,np,223,np,np,np,np,0,0
Central Murray,2015-01-01,np,579,np,np,np,np,0,np
Geelong and the Bellarine,2015-01-01,np,948,np,np,np,np,np,np
Gippsland,2015-01-01,np,847,np,np,np,np,np,np
Goulburn,2015-01-01,np,398,np,np,np,np,np,np
Great Ocean Road,2015-01-01,np,1504,np,82,np,np,np,np
High Country,2015-01-01,236,1056,np,np,np,np,np,np
Lakes,2015-01-01,np,485,np,np,np,np,0,np
Macedon,2015-01-01,np,226,np,np,np,np,np,np
Mallee,2015-01-01,136,426,np,131,np,np,np,np
Melbourne East,2015-01-01,np,357,np,np,np,np,np,np
Murray East,2015-01-01,np,116,np,np,np,np,0,np
Peninsula,2015-01-01,79,1068,np,np,np,np,np,np
Phillip Island,2015-01-01,np,693,np,np,np,np,0,0
Spa Country,2015-01-01,np,265,np,np,np,np,np,0
Upper Yarra,2015-01-01,np,189,np,np,0,np,0,np
Western Grampians,2015-01-01,np,223,np,53,np,np,0,0
Wimmera,2015-01-01,np,121,0,np,0,np,0,0
Brisbane,2015-01-01,1374,524,3650,132,116,61,61,99
Bundaberg,2015-01-01,np,np,524,np,np,np,np,0
Southern Queensland Country,2015-01-01,191,np,1594,np,np,np,np,np
Fraser Coast,2015-01-01,np,np,438,np,np,np,np,np
Gold Coast,2015-01-01,876,411,1511,73,np,37,np,np
Mackay,2015-01-01,90,np,712,np,np,np,np,0
Townsville,2015-01-01,86,np,898,np,np,np,np,np
Outback Queensland,2015-01-01,np,np,618,np,np,np,np,np
Sunshine Coast,2015-01-01,389,269,2420,np,np,np,np,np
Tropical North Queensland,2015-01-01,231,206,1093,np,np,np,np,np
Whitsundays,2015-01-01,91,np,234,np,np,np,np,np
Capricorn,2015-01-01,np,np,806,np,np,np,np,np
Gladstone,2015-01-01,np,np,351,np,np,np,np,0
Adelaide,2015-01-01,499,556,207,900,143,np,44,np
Adelaide Hills,2015-01-01,np,np,np,74,np,0,np,np
Barossa,2015-01-01,np,np,np,137,np,np,np,np
Clare Valley,2015-01-01,np,np,np,92,np,np,np,np
Eyre Peninsula,2015-01-01,np,np,np,321,np,np,np,np
Fleurieu Peninsula,2015-01-01,np,np,np,532,np,np,np,np
Limestone Coast,2015-01-01,np,153,np,332,np,np,np,0
Murraylands,2015-01-01,np,np,np,220,np,0,np,np
Riverland,2015-01-01,np,np,np,262,np,np,np,np
Yorke Peninsula,2015-01-01,np,np,np,412,np,np,np,0
Flinders Ranges and Outback,2015-01-01,np,94,np,372,np,np,np,np
Kangaroo Island,2015-01-01,np,np,0,72,np,0,np,0
Experience Perth,2015-01-01,340,331,232,107,2730,np,np,np
