tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
South Coast,2016-01-01,"3,512","11,218","1,423",3,405,127
The Murray,2016-01-01,"1,091","2,892",401,3,367,139
Melbourne,2016-01-01,"8,200","23,384","6,623",3,808,283
Ballarat,2016-01-01,652,"1,436",200,2,306,139
Bendigo Loddon,2016-01-01,923,"2,079",252,2,273,121
Central Highlands,2016-01-01,348,865,102,2,293,118
Central Murray,2016-01-01,708,"2,038",249,3,351,122
Geelong and the Bellarine,2016-01-01,"1,259","3,340",490,3,389,147
Gippsland,2016-01-01,983,"2,524",260,3,265,103
Goulburn,2016-01-01,491,"1,124",130,2,264,115
Great Ocean Road,2016-01-01,"1,867","5,342",720,3,386,135
High Country,2016-01-01,"1,517","4,509",630,3,415,140
Lakes,2016-01-01,680,"2,194",224,3,330,102
Macedon,2016-01-01,254,615,77,2,304,126
Mallee,2016-01-01,697,"1,937",297,3,426,153
Melbourne East,2016-01-01,596,"1,397",194,2,326,139
Murray East,2016-01-01,160,374,46,2,286,122
Peninsula,2016-01-01,"1,430","4,355",485,3,339,111
Phillip Island,2016-01-01,829,"2,429",303,3,365,125
Spa Country,2016-01-01,343,821,176,2,513,215
Upper Yarra,2016-01-01,200,444,40,2,200,90
Western Grampians,2016-01-01,318,913,77,3,244,85
Wimmera,2016-01-01,139,336,24,2,169,70
Brisbane,2016-01-01,"6,088","18,227","3,466",3,569,190
Bundaberg,2016-01-01,490,"1,509",160,3,326,106
Southern Queensland Country,2016-01-01,"1,812","4,827",596,3,329,123
Fraser Coast,2016-01-01,633,"2,209",263,3,415,119
Gold Coast,2016-01-01,"3,346","12,069","2,843",4,850,236
Mackay,2016-01-01,761,"2,563",292,3,383,114
Townsville,2016-01-01,"1,206","4,276",878,4,728,205
Outback Queensland,2016-01-01,822,"3,329",541,4,658,162
Sunshine Coast,2016-01-01,"3,265","11,839","2,109",4,646,178
Tropical North Queensland,2016-01-01,"1,880","9,612","2,057",5,"1,094",214
Whitsundays,2016-01-01,512,"2,058",494,4,965,240
Capricorn,2016-01-01,901,"2,953",423,3,470,143
Gladstone,2016-01-01,499,"2,237",289,4,580,129
Adelaide,2016-01-01,"2,648","8,471","2,143",3,809,253
Adelaide Hills,2016-01-01,179,376,94,2,528,251
