tr_tra_name_2018,Date,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland,Italy,Netherlands,Switzerland
Canberra,2013,5,,,7,5,,,,,7,21,5,,10,5,,,,,,,
Sydney,2014,138,96,102,75,59,55,34,142,475,92,313,78,303,112,56,76,43,24,30,43,24,30
Blue Mountains,2014,,,,,,,,,,,,3,,10,3,,,,,,,
Capital Country,2014,,,,,,,,,,,,,,,,,,,,,,
Central Coast,2014,0,,,,,,,,,,,,,1,,,,,,,,
Central NSW,2014,,,,,,,,,,,,,,2,,,,,,,,
Hunter,2014,3,,,,,,,,8,3,,8,21,10,5,5,2,,,,,
New England North West,2014,,,,,,,,,,,,,,,,,,,,,,
North Coast NSW,2014,4,,,,,,,,,,,16,54,34,17,12,6,9,11,6,,
Outback NSW,2014,,,,,,,,,,,,,,,,,,,,,,
Riverina,2014,,,,,,,,,,,,,,,,,,,,,,
Snowy Mountains,2014,,,,,,,,,,,,,,,,,,,,,,
South Coast,2014,2,,,,,,,,,2,,6,,10,5,,,,,,,
The Murray,2014,,,,,,,,,,,,,,,,,,,,,,
Melbourne,2014,41,70,93,108,50,40,23,38,389,80,150,44,174,70,32,43,33,18,16,33,18,16
Ballarat,2014,,,,,,,,,,,,,,,,,,,,,,
Bendigo Loddon,2014,,,,,,,,,,,,,,,,,,,,,,
Central Highlands,2014,,,,,,,,,,,,,,,1,,,,,,,
Central Murray,2014,,,,,,,,,,,,,,,,,,,,,,
Geelong and the Bellarine,2014,,,,,,,,,,,,,,,,,,,,,,
Gippsland,2014,,,,,,,,,,,,,,,,,,,,,,
Goulburn,2014,,,,,,,,,,,,,,,,,,,,,,
Great Ocean Road,2014,1,,,,,,,,,2,,5,,19,8,9,6,5,6,6,,
High Country,2014,,,,,,,,,,,,,,,,,,,,,,
Lakes,2014,,,,,,,,,,,,,,,,,,,,,,
Macedon,2014,,,,,,,,,,,,,,,,,,,,,,
Mallee,2014,,,,,,,,,,,,,,,,,,,,,,
Melbourne East,2014,,,,,,,,,,,,,,,,,,,,,,
Murray East,2014,,,,,,,,,,,,,,,,,,,,,,
Peninsula,2014,0,,,,,,,,,,,,,2,,,,,,,,
Phillip Island,2014,,,,,,,,,,,,,,,,,,,,,,
Spa Country,2014,,,,,,,,,,,,,,,,,,,,,,
Upper Yarra,2014,,,,,,,,,,,,,,,,,,,,,,
Western Grampians,2014,,,,,,,,,,,,,,,,,,,,,,
Wimmera,2014,,,,,,,,,,,,,,,,,,,,,,
Brisbane,2014,30,27,30,20,11,32,8,26,148,20,71,27,114,50,24,25,12,11,13,12,11,
Bundaberg,2014,,,,,,,,,,,,,,5,1,,,,,,,
Southern Queensland Country,2014,1,,,,,,,,,,,,,4,,,,,,,,
Fraser Coast,2014,,,,,,,,,,,,6,29,23,9,7,2,,6,2,,
Gold Coast,2014,52,19,34,30,7,,6,,204,21,27,17,58,23,13,9,5,5,7,5,5,7
Mackay,2014,1,,,,,,,,,,,,,4,1,,,,,,,
Townsville,2014,1,,,,,,,,,,,4,,19,6,8,2,,5,2,,
Outback Queensland,2014,,,,,,,,,,,,,,5,,,,,,,,
Sunshine Coast,2014,4,,,,,,,,,,,13,52,32,12,10,3,,6,3,6,
Tropical North Queensland,2014,87,17,1,,,,1,,158,13,82,27,82,49,21,24,11,10,12,11,,12
Whitsundays,2014,9,1,,,,,,,,1,,12,44,30,11,11,4,6,7,4,,
Capricorn,2014,,,,,,,,,,,,,,10,3,,,,4,,,
Gladstone,2014,,,,,,,,,,,,2,,13,3,,,,0,,,
Adelaide,2014,6,9,11,18,5,,,,,13,32,11,54,26,10,14,9,6,10,9,,
Adelaide Hills,2014,,,,,,,,,,,,,,,,,,,,,,
Barossa,2014,,,,,,,,,,,,,,,,,,,,,,
Clare Valley,2014,,,,,,,,,,,,,,,,,,,,,,
Eyre Peninsula,2014,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula,2014,,,,,,,,,,,,,,,,,,,,,,
Limestone Coast,2014,,,,,,,,,,,,,,6,,,,,,,,
"Murray River, Lakes and Coorong",2014,,,,,,,,,,,,,,,,,,,,,,
Riverland,2014,,,,,,,,,,,,,,,,,,,,,,
Yorke Peninsula,2014,,,,,,,,,,,,,,,,,,,,,,
Flinders Ranges and Outback,2014,,,,,,,,,,,,,,,1,,,,,,,
Kangaroo Island,2014,,,,,,,,,,,,,,,,,,1,,,,
Experience Perth,2014,25,18,77,71,29,12,9,13,39,18,64,16,135,29,13,20,13,7,10,13,7,
Australia's Golden Outback,2014,,,,,,,,,,,,,,5,,,,,,,,
Australia's North West,2014,1,,,,,,,,,,,2,,8,1,,,,,,,
Australia's South West,2014,3,,,6,1,,,,,,,4,,6,3,,,,,,,
Australia's Coral Coast,2014,,,,,,,,,,,,,,10,2,,,,,,,
Hobart and the South,2014,6,17,6,5,,,,,,2,,4,,8,1,,,,,,,
East Coast,2014,,,,,,,,,,,,,,,,,,,,,,
Launceston and the North,2014,,,3,,,,,,,1,,2,,4,,,,,,,,
North West,2014,,,,,,,,,,,,,,,,,,,,,,
West Coast,2014,,,,,,,,,,,,,,,,,,,,,,
Darwin,2014,4,,,,,,,,,,,6,,17,3,,5,4,6,5,,
