tr_tra_name_2018,Date,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
Gold Coast,2014-01-01,176,56,20,41,31,8,16,np,19,187,21,26,15,58,17,12,11,5,5,7
Mackay,2014-01-01,9,np,np,np,0,np,0,np,np,np,np,np,np,8,5,np,np,np,np,np
Townsville,2014-01-01,10,np,np,np,np,np,np,np,np,np,np,8,5,19,15,4,6,np,5,np
Outback Queensland,2014-01-01,np,np,0,np,np,np,np,np,np,np,np,np,np,5,np,np,np,np,np,np
Sunshine Coast,2014-01-01,59,np,np,np,np,np,np,np,np,np,np,12,11,48,24,12,10,np,7,7
Tropical North Queensland,2014-01-01,32,86,18,np,np,np,8,np,9,142,13,82,24,81,44,20,26,11,11,9
Whitsundays,2014-01-01,9,8,np,np,np,np,np,0,np,np,np,13,12,44,27,10,14,5,8,7
Capricorn,2014-01-01,8,np,np,np,np,np,np,np,np,np,np,np,np,12,9,np,np,np,np,np
Gladstone,2014-01-01,np,np,np,np,np,np,np,0,np,np,np,5,np,10,8,np,np,np,np,np
Adelaide,2014-01-01,36,6,8,11,20,np,np,np,np,29,10,30,12,62,25,10,14,11,7,9
Adelaide Hills,2014-01-01,np,np,0,np,np,np,0,0,np,np,0,np,np,np,np,np,np,np,np,np
Barossa,2014-01-01,np,np,0,np,np,0,0,0,np,np,0,np,np,np,np,np,np,np,np,np
Clare Valley,2014-01-01,np,0,np,0,0,0,0,0,0,0,0,np,np,np,np,np,0,0,np,0
Eyre Peninsula,2014-01-01,np,np,np,0,0,np,0,np,0,0,np,np,np,np,np,np,np,np,np,np
Fleurieu Peninsula,2014-01-01,np,0,np,np,0,0,0,0,np,np,0,np,np,np,np,np,np,np,np,np
Limestone Coast,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,8,np,np,np,np,np,np
Murraylands,2014-01-01,np,0,np,0,np,0,np,0,0,np,0,np,np,np,np,np,np,np,np,np
Riverland,2014-01-01,np,np,np,0,np,0,np,0,0,0,0,0,0,np,np,np,np,np,np,0
Yorke Peninsula,2014-01-01,np,0,0,0,0,np,0,np,0,0,0,np,np,np,np,np,0,0,np,0
Flinders Ranges and Outback,2014-01-01,np,np,np,np,0,0,np,0,np,np,np,np,np,np,6,np,np,np,np,np
Kangaroo Island,2014-01-01,np,0,np,np,np,0,np,0,np,np,np,np,np,np,np,np,np,np,np,np
Experience Perth,2014-01-01,68,21,16,72,64,29,11,9,11,35,13,50,17,145,31,13,17,11,9,12
Australia's Golden Outback,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,7,6,np,np,np,np,np
Australia's North West,2014-01-01,14,np,np,np,np,np,np,np,np,np,np,8,np,9,8,np,np,np,np,np
Australia's South West,2014-01-01,11,np,np,14,7,np,np,np,np,np,np,9,np,33,7,np,np,np,np,np
Australia's Coral Coast,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,15,10,np,np,np,np,np
Hobart and the South,2014-01-01,11,np,14,np,np,np,np,np,np,20,np,16,np,16,8,np,np,np,np,np
East Coast,2014-01-01,np,np,np,np,np,0,np,np,np,np,0,np,np,np,np,np,np,np,np,np
Launceston and the North,2014-01-01,np,np,8,np,np,0,np,np,np,9,np,6,np,7,np,np,np,np,np,np
North West,2014-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np
West Coast,2014-01-01,np,np,np,np,np,0,np,0,0,np,np,np,np,np,np,np,np,np,np,np
Darwin,2014-01-01,11,np,np,np,np,np,np,np,np,np,np,12,np,17,18,np,10,6,4,np
Barkly,2014-01-01,np,np,0,0,0,np,np,0,np,np,0,np,np,np,np,np,np,np,np,np
Alice Springs,2014-01-01,np,np,np,np,np,np,np,0,np,np,np,14,6,20,18,5,11,6,4,7
Litchfield Kakadu Arnhem,2014-01-01,np,np,np,np,np,np,np,np,np,np,np,np,np,np,5,np,np,np,np,np
Katherine Daly,2014-01-01,np,np,np,np,np,np,0,np,np,0,0,np,np,np,5,np,np,np,np,np
Lasseter,2014-01-01,np,15,np,np,np,np,np,np,np,np,np,21,6,20,19,np,11,7,np,6
MacDonnell,2014-01-01,np,np,0,0,0,np,0,0,0,0,0,np,np,np,np,0,np,0,np,np
Canberra,2014-01-01,16,np,6,6,5,np,np,np,5,24,np,18,np,17,11,np,np,np,np,np
Sydney,2015-01-01,366,131,96,106,74,60,51,33,153,520,103,329,80,314,114,56,72,40,24,31
Blue Mountains,2015-01-01,np,np,np,np,np,np,np,np,np,np,np,13,np,19,10,np,np,np,3,np
Central Coast,2015-01-01,8,np,np,np,np,np,np,np,np,np,np,np,np,9,np,np,np,np,np,np
Central NSW,2015-01-01,np,np,np,np,np,0,np,np,np,np,np,np,np,7,np,np,np,np,np,np
Hunter,2015-01-01,21,np,np,6,np,np,np,np,np,8,np,16,8,28,11,5,6,np,3,np
New England North West,2015-01-01,np,np,np,np,0,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np
North Coast NSW,2015-01-01,26,np,np,np,np,np,np,np,np,np,np,23,18,68,34,18,13,6,9,13
Outback NSW,2015-01-01,np,np,0,np,0,np,0,0,0,np,0,np,np,np,np,np,np,np,np,np
Riverina,2015-01-01,np,np,np,np,np,np,np,0,np,np,np,np,np,np,np,np,np,np,np,np
