DATE,LGA_CODE,LGA Name,"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing  (%),"Electricity, Gas, Water & Waste Services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, Postal and Warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, Hiring, & Real Estate Services (%)",Professional Scientific & Technical Services (%),Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Total persons employed (no.)
2011,14550,Kyogle (A),17.1,0.7,9.9,0.9,7.5,3.9,10.1,4.4,3.9,0.5,1.3,0.9,3.2,1.9,4.5,9.4,13.9,1.1,3.1,3426
2011,14600,Lachlan (A),32.1,2.7,5.8,1.3,3.5,2.8,8.4,4.9,3,0.2,0.7,0.4,1.7,1.3,5,9.5,10.5,0.5,2.3,2854
2011,14650,Lake Macquarie (C),0.3,2.6,10.3,2,9.1,3.2,11.7,6.3,4.3,1,3.3,1.4,5.5,3,5.6,8.6,14.5,1.1,4.3,83592
2011,14700,Lane Cove (A),0.2,0.2,4.7,0.7,3.6,4.9,7.2,4.7,2.4,4.9,10.9,2.4,18.1,3.3,4,8.6,12.5,1.7,2.7,16836
2011,14750,Leeton (A),10.8,0.7,20.2,3.3,5.2,3.6,10.5,5,4,0.4,1.4,0.6,2.3,2.3,5.5,10.7,7.6,0.3,3.5,4656
2011,14850,Lismore (C),5.2,0.4,7.1,0.7,6.8,2.8,13.8,6.8,3.2,1.8,2,1.3,4.6,2.8,5.1,11.2,17.6,1.3,3.8,18495
2011,14870,Lithgow (C),2.7,12.4,6.7,4.3,5.9,1.9,10,8.3,5.8,0.6,1.7,1,3,3.4,8.4,6.3,11,1,3.6,8060
2011,14900,Liverpool (C),0.7,0.1,14,0.9,8.5,5.5,10.4,5.3,7.9,1.6,4.7,1.3,4.5,3.4,6.9,5.8,10.1,1.1,3.9,74567
2011,14920,Liverpool Plains (A),24.2,2.8,6.2,1.2,5.3,3.8,8.6,5,7.2,0.6,1.2,0.6,3.2,1.8,4.8,6.8,9.3,0.8,3.4,3081
2011,14950,Lockhart (A),30.3,0.2,3.1,1.5,4.4,1.7,7.4,4.3,8.8,1,1.1,0.2,2,1.6,6.4,6.7,13.1,0.3,3.8,1332
2011,15050,Maitland (C),1,6.4,11.7,1.5,8.2,3.1,11.5,6.6,4.6,0.8,2.2,1.5,5.1,3.2,5.9,7.1,11.6,1,5,31187
2011,15240,Mid-Coast (A),5.2,1.4,7.6,1.6,9,2.4,13.7,8.8,3.9,0.9,1.6,1.8,3.6,3.2,4.5,7.8,15.5,1.5,4,29428
2011,15270,Mid-Western Regional (A),9.5,13.8,6,1.2,7.8,2.5,11.3,8.2,3.3,0.8,1.2,1.3,3.5,2.2,4.2,7.3,9.2,0.7,3.9,9363
2011,15300,Moree Plains (A),26,0.3,4.5,0.9,5.6,3.1,9.6,5.7,5,0.6,2,1.1,3.4,1.9,6.6,8.1,8.1,0.3,4.6,5817
2011,15350,Mosman (A),0.4,0.4,3.6,0.4,3.5,4.2,6.7,5.1,2.4,4.6,14.8,3.2,20.3,3.7,4,6.6,9.4,2.1,2.4,13486
