sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Loganlea,2015-10-01,,,,,,,,,
Waterford West,2015-10-01,,,,,,,,,
Slacks Creek,2015-10-01,,,,,,,,,
Springwood,2015-10-01,,,,,,,,,
Bribie Island,2015-10-01,1536,2945,52.2,3663,41757,8.8,209129,136.15,71.01
Caboolture,2015-10-01,1786,2480,72,2642,7502,35.2,219136,122.7,88.36
Caboolture - South,2015-10-01,,,,,,,,,
Margate - Woody Point,2015-10-01,,,,,,,,,
Redcliffe,2015-10-01,3024,4712,64.2,5905,14260,41.4,573157,189.54,121.64
Cashmere,2015-10-01,,,,,,,,,
Gatton,2015-10-01,,,,,,,,,
Lockyer Valley - West,2015-10-01,,,,,,,,,
Buderim - North,2015-10-01,,,,,,,,,
Buddina - Minyama,2015-10-01,,,,,,,,,
Caloundra - Kings Beach,2015-10-01,11318,16461,68.8,31889,58094,54.9,1939956,171.4,117.85
Golden Beach - Pelican Waters,2015-10-01,7078,10571,67,14586,33170,44,983127,138.9,93
Moffat Beach - Battery Hill,2015-10-01,1491,2728,54.7,3432,8370,41,173490,116.36,63.6
Wurtulla - Birtinya,2015-10-01,,,,,,,,,
Coolum Beach,2015-10-01,6331,10881,58.2,15941,42253,37.7,1130949,178.64,103.94
Marcoola - Mudjimba,2015-10-01,10817,16120,67.1,26057,60047,43.4,1655819,153.07,102.72
Maroochydore - Kuluin,2015-10-01,8115,12183,66.6,18931,41788,45.3,1647951,203.08,135.27
Mooloolaba - Alexandra Headland,2015-10-01,28730,37417,76.8,68133,134385,50.7,5025759,174.93,134.32
Diddillibah - Rosemount,2015-10-01,,,,,,,,,
Nambour,2015-10-01,1099,1829,60.1,1393,5301,26.3,127749,116.24,69.85
Noosa Heads,2015-10-01,27270,36952,73.8,60105,111631,53.8,8319127,305.07,225.13
Noosaville,2015-10-01,14103,20088,70.2,36863,75330,48.9,2040353,144.68,101.57
Peregian,2015-10-01,882,1829,48.2,1860,6572,28.3,159866,181.25,87.41
Sunshine Beach,2015-10-01,1391,2232,62.3,2797,9114,30.7,233489,167.86,104.61
Caloundra Hinterland,2015-10-01,,,,,,,,,
Maroochy Hinterland,2015-10-01,,,,,,,,,
Palmwoods,2015-10-01,,,,,,,,,
Cooloola,2015-10-01,2042,5146,39.7,5471,19623,27.9,240379,117.74,46.71
Gympie - North,2015-10-01,3237,4681,69.2,6218,13206,47.1,437540,135.15,93.47
Pialba - Eli Waters,2015-10-01,1156,2325,49.7,1685,6944,24.3,116639,100.9,50.17
Point Vernon,2015-10-01,,,,,,,,,
Torquay - Scarness - Kawungan,2015-10-01,,,,,,,,,
Urangan - Wondunna,2015-10-01,11132,16833,66.1,20214,61938,32.6,1251198,112.4,74.33
Burrum - Fraser,2015-10-01,,,,,,,,,
Maryborough (Qld),2015-10-01,5141,10540,48.8,9755,30422,32.1,575755,111.99,54.63
Tinana,2015-10-01,,,,,,,,,
Balonne,2015-10-01,1988,4774,41.7,2562,14136,18.1,248685,125.07,52.09
Chinchilla,2015-10-01,1884,4898,38.5,2052,12059,17,226475,120.19,46.24
Goondiwindi,2015-10-01,4229,7192,58.8,6695,20987,31.9,477209,112.84,66.35
Miles - Wandoan,2015-10-01,972,4278,22.7,1054,10106,10.4,142701,146.77,33.36
Roma,2015-10-01,4189,8587,48.8,5683,23126,24.6,580093,138.48,67.55
Roma Region,2015-10-01,717,2294,31.3,786,6541,12,99149,138.28,43.22
Tara,2015-10-01,,,,,,,,,
Crows Nest - Rosalie,2015-10-01,,,,,,,,,
Jondaryan,2015-10-01,,,,,,,,,
Pittsworth,2015-10-01,,,,,,,,,
Wambo,2015-10-01,3977,8432,47.2,5254,22971,22.9,548028,137.8,64.99
Southern Downs - East,2015-10-01,,,,,,,,,
Stanthorpe,2015-10-01,2640,5208,50.7,4278,16988,25.2,298263,112.98,57.27
Warwick,2015-10-01,3710,6262,59.2,6948,17856,38.9,362870,97.81,57.95
Darling Heights,2015-10-01,2910,4185,69.5,4662,13299,35.1,367507,126.28,87.82
Drayton - Harristown,2015-10-01,1953,3007,64.9,2393,8742,27.4,251803,128.93,83.74
Highfields,2015-10-01,,,,,,,,,
Newtown (Qld),2015-10-01,,,,,,,,,
North Toowoomba - Harlaxton,2015-10-01,,,,,,,,,
Toowoomba - Central,2015-10-01,10425,18228,57.2,15396,47957,32.1,1583932,151.94,86.9
Toowoomba - East,2015-10-01,4483,7595,59,7250,23219,31.2,560095,124.94,73.75
Toowoomba - West,2015-10-01,,,,,,,,,
Wilsonton,2015-10-01,,,,,,,,,
Kingaroy,2015-10-01,3675,6386,57.5,4767,16616,28.7,425908,115.9,66.69
Kingaroy Region - North,2015-10-01,,,,,,,,,
Nanango,2015-10-01,990,1581,62.6,998,4123,24.2,108650,109.75,68.72
Bargara - Burnett Heads,2015-10-01,4330,7409,58.4,7812,28861,27.1,747864,172.72,100.94
Branyan - Kensington,2015-10-01,,,,,,,,,
Bundaberg,2015-10-01,5991,9858,60.8,8819,26164,33.7,774856,129.35,78.6
Bundaberg Region - South,2015-10-01,1017,2077,49,1592,7471,21.3,106028,104.26,51.05
Millbank - Avoca,2015-10-01,1556,2976,52.3,1747,9269,18.8,176107,113.18,59.18
Gayndah - Mundubbera,2015-10-01,,,,,,,,,
Gin Gin,2015-10-01,,,,,,,,,
Monto - Eidsvold,2015-10-01,,,,,,,,,
Central Highlands - East,2015-10-01,1949,4433,44,2139,10912,19.6,220786,113.26,49.8
Central Highlands - West,2015-10-01,,,,,,,,,
Emerald,2015-10-01,4881,15655,31.2,5903,40703,14.5,612830,125.54,39.15
Agnes Water - Miriam Vale,2015-10-01,4342,10323,42.1,9858,35929,27.4,889755,204.92,86.19
Banana,2015-10-01,,,,,,,,,
Biloela,2015-10-01,4077,6975,58.5,4791,17670,27.1,551886,135.37,79.12
Boyne Island - Tannum Sands,2015-10-01,812,2449,33.1,1345,6851,19.6,84139,103.64,34.36
Clinton - New Auckland,2015-10-01,,,,,,,,,
Gladstone,2015-10-01,14110,28582,49.4,18386,77097,23.8,1911282,135.46,66.87
Gladstone Hinterland,2015-10-01,,,,,,,,,
West Gladstone,2015-10-01,,,,,,,,,
Berserker,2015-10-01,,,,,,,,,
Emu Park,2015-10-01,,,,,,,,,
Norman Gardens,2015-10-01,1784,3441,51.8,3953,8401,47,271218,152.02,78.82
Park Avenue,2015-10-01,3645,6975,52.3,6656,19034,35,422971,116.05,60.64
Parkhurst - Kawana,2015-10-01,,,,,,,,,
Rockhampton City,2015-10-01,17389,28724,60.5,28190,71500,39.4,2886426,165.99,100.49
The Range - Allenstown,2015-10-01,6869,11284,60.9,9978,34379,29,813394,118.41,72.08
Yeppoon,2015-10-01,5816,13888,41.9,11655,43834,26.6,958906,164.87,69.05
Broadsound - Nebo,2015-10-01,1202,6324,19,1277,14074,9.1,152768,127.13,24.16
Clermont,2015-10-01,,,,,,,,,
Moranbah,2015-10-01,2657,7657,34.7,3307,18848,17.5,327408,123.22,42.76
East Mackay,2015-10-01,2309,6665,34.6,3252,19251,16.9,344826,149.36,51.74
Eimeo - Rural View,2015-10-01,1042,3348,31.1,2314,11036,21,136890,131.37,40.89
Mackay,2015-10-01,16088,28861,55.7,23380,68221,34.3,2364449,146.97,81.93
Sarina,2015-10-01,1407,2852,49.3,1969,8959,22,182213,129.51,63.89
Seaforth - Calen,2015-10-01,,,,,,,,,
Shoal Point - Bucasia,2015-10-01,,,,,,,,,
Slade Point,2015-10-01,,,,,,,,,
South Mackay,2015-10-01,,,,,,,,,
West Mackay,2015-10-01,6788,17732,38.3,9506,49965,19,712902,105.03,40.2
Bowen,2015-10-01,,,,,,,,,
Airlie - Whitsundays,2015-10-01,46296,57257,80.9,110056,199454,55.2,13379719,289.01,233.68
Proserpine,2015-10-01,,,,,,,,,
Ayr,2015-10-01,969,2387,40.6,1465,6851,21.4,109659,113.17,45.94
Charters Towers,2015-10-01,2073,4805,43.1,2967,13950,21.3,243530,117.48,50.68
Ingham,2015-10-01,1142,2976,38.4,1434,8401,17.1,148262,129.83,49.82
Ingham Region,2015-10-01,,,,,,,,,
Palm Island,2015-10-01,,,,,,,,,
Aitkenvale,2015-10-01,,,,,,,,,
Belgian Gardens - Pallarenda,2015-10-01,,,,,,,,,
Deeragun,2015-10-01,,,,,,,,,
Garbutt - West End,2015-10-01,,,,,,,,,
Hermit Park - Rosslea,2015-10-01,3878,7936,48.9,6715,23281,28.8,346658,89.38,43.68
Magnetic Island,2015-10-01,2902,6479,44.8,7094,20026,35.4,400815,138.12,61.86
Mundingburra,2015-10-01,,,,,,,,,
South Townsville - Railway Estate,2015-10-01,16468,23754,69.3,24721,61566,40.2,1929067,117.14,81.21
Townsville City - North Ward,2015-10-01,24049,38874,61.9,37016,98549,37.6,2780627,115.62,71.53
Wulguru - Roseneath,2015-10-01,,,,,,,,,
Clifton Beach - Kewarra Beach,2015-10-01,19746,30473,64.8,41078,106919,38.4,3347864,169.54,109.86
Freshwater - Stratford,2015-10-01,,,,,,,,,
Trinity Beach - Smithfield,2015-10-01,7346,10385,70.7,18586,38812,47.9,1043652,142.07,100.5
Yorkeys Knob - Machans Beach,2015-10-01,,,,,,,,,
Cairns City,2015-10-01,124893,160940,77.6,228963,448180,51.1,16960328,135.8,105.38
Earlville - Bayview Heights,2015-10-01,,,,,,,,,
Manunda,2015-10-01,,,,,,,,,
Woree,2015-10-01,2875,4092,70.2,6111,9145,66.8,307953,107.13,75.26
Innisfail,2015-10-01,,,,,,,,,
Johnstone,2015-10-01,,,,,,,,,
Tully,2015-10-01,3966,9486,41.8,6818,28055,24.3,506611,127.74,53.41
Daintree,2015-10-01,2127,3720,57.2,3957,10137,39,490929,230.81,131.97
Port Douglas,2015-10-01,47157,75364,62.6,109004,239576,45.5,8985096,190.54,119.22
Atherton,2015-10-01,1542,2759,55.9,2215,7008,31.6,165014,106.99,59.81
Malanda - Yungaburra,2015-10-01,,,,,,,,,
Mareeba,2015-10-01,,,,,,,,,
Cape York,2015-10-01,2695,5673,47.5,3759,12307,30.5,333435,123.71,58.78
Croydon - Etheridge,2015-10-01,,,,,,,,,
Northern Peninsula,2015-10-01,,,,,,,,,
Torres,2015-10-01,,,,,,,,,
Weipa,2015-10-01,,,,,,,,,
Carpentaria,2015-10-01,857,2790,30.7,1239,8153,15.2,111682,130.3,40.03
Mount Isa,2015-10-01,4356,11129,39.1,5596,28396,19.7,590434,135.53,53.05
Mount Isa Region,2015-10-01,,,,,,,,,
Northern Highlands,2015-10-01,,,,,,,,,
Barcaldine - Blackall,2015-10-01,1880,4030,46.6,3708,11935,31.1,252053,134.08,62.54
Charleville,2015-10-01,1369,3751,36.5,1703,10044,17,155985,113.94,41.58
Far Central West,2015-10-01,1443,2976,48.5,3025,8742,34.6,209970,145.52,70.55
Far South West,2015-10-01,,,,,,,,,
Longreach,2015-10-01,3358,6727,49.9,5561,20460,27.2,395939,117.91,58.86
Migratory - Offshore - Shipping (Qld),2015-10-01,34271,41850,81.9,81012,123659,65.5,11959768,348.98,285.78
Burleigh Heads,2015-11-01,6611,9060,73,16427,31050,52.9,1109160,167.77,122.42
Mermaid Beach - Broadbeach,2015-11-01,62981,83400,75.5,139829,273990,51,11053866,175.51,132.54
Mermaid Waters,2015-11-01,,,,,,,,,
Miami,2015-11-01,2916,4110,70.9,5415,12990,41.7,203954,69.94,49.62
Coolangatta,2015-11-01,18117,23610,76.7,37762,77460,48.7,2334333,128.85,98.87
Currumbin - Tugun,2015-11-01,,,,,,,,,
Palm Beach,2015-11-01,2752,4290,64.1,4083,13170,31,384142,139.59,89.54
Biggera Waters,2015-11-01,4460,6030,74,9062,20250,44.7,647694,145.21,107.41
Labrador,2015-11-01,,,,,,,,,
Paradise Point - Hollywell,2015-11-01,,,,,,,,,
Runaway Bay,2015-11-01,,,,,,,,,
Tamborine - Canungra,2015-11-01,3611,8730,41.4,5340,26100,20.5,739109,204.68,84.66
Currumbin Valley - Tallebudgera,2015-11-01,,,,,,,,,
Carrara,2015-11-01,,,,,,,,,
Nerang - Mount Nathan,2015-11-01,,,,,,,,,
Coomera,2015-11-01,,,,,,,,,
Hope Island,2015-11-01,,,,,,,,,
Ormeau - Yatala,2015-11-01,,,,,,,,,
Varsity Lakes,2015-11-01,,,,,,,,,
Southport,2015-11-01,,,,,,,,,
Benowa,2015-11-01,,,,,,,,,
Main Beach,2015-11-01,26262,35430,74.1,66169,115500,57.3,5936125,226.03,167.55
Surfers Paradise,2015-11-01,148964,193386,77,367246,572996,64.1,23460644,157.49,121.32
Beaudesert,2015-11-01,,,,,,,,,
Cleveland,2015-11-01,,,,,,,,,
Ormiston,2015-11-01,,,,,,,,,
Redland Islands,2015-11-01,4685,5940,78.9,9147,25140,36.4,610974,130.41,102.86
Manly - Lota,2015-11-01,,,,,,,,,
Wakerley,2015-11-01,,,,,,,,,
Wynnum,2015-11-01,,,,,,,,,
Wynnum West - Hemmant,2015-11-01,,,,,,,,,
Carseldine,2015-11-01,,,,,,,,,
Aspley,2015-11-01,,,,,,,,,
Chermside,2015-11-01,6393,9960,64.2,11530,26730,43.1,1164434,182.15,116.91
Boondall,2015-11-01,,,,,,,,,
Brisbane Airport,2015-11-01,,,,,,,,,
Northgate - Virginia,2015-11-01,,,,,,,,,
Annerley,2015-11-01,,,,,,,,,
Greenslopes,2015-11-01,,,,,,,,,
Woolloongabba,2015-11-01,6737,9630,70,11843,20790,57,916330,136.01,95.15
Eight Mile Plains,2015-11-01,,,,,,,,,
Mount Gravatt,2015-11-01,,,,,,,,,
Upper Mount Gravatt,2015-11-01,,,,,,,,,
Robertson,2015-11-01,,,,,,,,,
Calamvale - Stretton,2015-11-01,,,,,,,,,
Rocklea - Acacia Ridge,2015-11-01,2479,3840,64.6,3181,10050,31.7,277999,112.14,72.4
Sunnybank,2015-11-01,,,,,,,,,
Jindalee - Mount Ommaney,2015-11-01,,,,,,,,,
Indooroopilly,2015-11-01,,,,,,,,,
St Lucia,2015-11-01,,,,,,,,,
Brisbane City,2015-11-01,175276,204990,85.5,258967,534270,48.5,35401357,201.97,172.7
Fortitude Valley,2015-11-01,13030,17970,72.5,18198,36420,50,2333627,179.1,129.86
Kangaroo Point,2015-11-01,15495,22770,68.1,23728,60150,39.4,2343934,151.27,102.94
New Farm,2015-11-01,,,,,,,,,
South Brisbane,2015-11-01,20344,25072,81.1,31287,64630,48.4,3753933,184.52,149.73
Spring Hill,2015-11-01,31490,45330,69.5,46610,115140,40.5,4604233,146.21,101.57
Albion,2015-11-01,,,,,,,,,
Ascot,2015-11-01,1951,2790,69.9,3288,7530,43.7,298667,153.08,107.05
Clayfield,2015-11-01,,,,,,,,,
Hamilton (Qld),2015-11-01,6835,11910,57.4,9565,29970,31.9,1083111,158.46,90.94
Hendra,2015-11-01,,,,,,,,,
Kelvin Grove - Herston,2015-11-01,,,,,,,,,
Newstead - Bowen Hills,2015-11-01,5798,9060,64,9753,26711,36.5,795744,137.24,87.83
Windsor,2015-11-01,,,,,,,,,
Auchenflower,2015-11-01,,,,,,,,,
Paddington - Milton,2015-11-01,,,,,,,,,
Toowong,2015-11-01,3581,5580,64.2,6066,16740,36.2,537255,150.05,96.28
Darra - Sumner,2015-11-01,,,,,,,,,
Oxley (Qld),2015-11-01,,,,,,,,,
Boonah,2015-11-01,,,,,,,,,
Lowood,2015-11-01,,,,,,,,,
Rosewood,2015-11-01,,,,,,,,,
Ipswich - Central,2015-11-01,4987,8176,61,7136,20728,34.4,598101,119.92,73.15
Leichhardt - One Mile,2015-11-01,,,,,,,,,
North Ipswich - Tivoli,2015-11-01,,,,,,,,,
Raceview,2015-11-01,,,,,,,,,
Hillcrest,2015-11-01,,,,,,,,,
Loganholme - Tanah Merah,2015-11-01,,,,,,,,,
Loganlea,2015-11-01,,,,,,,,,
Waterford West,2015-11-01,,,,,,,,,
Slacks Creek,2015-11-01,,,,,,,,,
Springwood,2015-11-01,,,,,,,,,
Bribie Island,2015-11-01,1474,2850,51.7,3461,40410,8.6,207210,140.58,72.71
Caboolture,2015-11-01,1616,2400,67.3,2283,7260,31.4,196379,121.52,81.82
Caboolture - South,2015-11-01,,,,,,,,,
Margate - Woody Point,2015-11-01,,,,,,,,,
Redcliffe,2015-11-01,2899,4560,63.6,5297,13800,38.4,556265,191.88,121.99
Cashmere,2015-11-01,,,,,,,,,
Gatton,2015-11-01,,,,,,,,,
Lockyer Valley - West,2015-11-01,,,,,,,,,
Buderim - North,2015-11-01,,,,,,,,,
Buddina - Minyama,2015-11-01,,,,,,,,,
Caloundra - Kings Beach,2015-11-01,10543,15930,66.2,27933,56220,49.7,1673456,158.73,105.05
Golden Beach - Pelican Waters,2015-11-01,5535,10230,54.1,10476,32100,32.6,715070,129.19,69.9
Moffat Beach - Battery Hill,2015-11-01,1223,2640,46.3,2638,8100,32.6,134256,109.78,50.85
Wurtulla - Birtinya,2015-11-01,,,,,,,,,
Coolum Beach,2015-11-01,5445,10530,51.7,12889,40890,31.5,906907,166.56,86.13
Marcoola - Mudjimba,2015-11-01,9196,15600,58.9,21983,58110,37.8,1314556,142.95,84.27
Maroochydore - Kuluin,2015-11-01,7750,11790,65.7,16211,40440,40.1,1613981,208.25,136.89
Mooloolaba - Alexandra Headland,2015-11-01,24354,36210,67.3,55987,130050,43.1,4293516,176.3,118.57
Diddillibah - Rosemount,2015-11-01,,,,,,,,,
Nambour,2015-11-01,878,1770,49.6,1175,5130,22.9,103832,118.26,58.66
Noosa Heads,2015-11-01,24558,35760,68.7,49897,108030,46.2,7295200,297.06,204
Noosaville,2015-11-01,11644,19440,59.9,29213,72900,40.1,1751210,150.4,90.08
Peregian,2015-11-01,825,1770,46.6,1505,6360,23.7,161702,196,91.36
Sunshine Beach,2015-11-01,1218,2160,56.4,2512,8820,28.5,181354,148.89,83.96
Caloundra Hinterland,2015-11-01,,,,,,,,,
Maroochy Hinterland,2015-11-01,,,,,,,,,
Palmwoods,2015-11-01,,,,,,,,,
Cooloola,2015-11-01,1657,4980,33.3,4032,18990,21.2,221968,133.97,44.57
Gympie - North,2015-11-01,2721,4530,60.1,5142,12780,40.2,360449,132.47,79.57
Pialba - Eli Waters,2015-11-01,992,2250,44.1,1352,6720,20.1,97655,98.44,43.4
Point Vernon,2015-11-01,,,,,,,,,
Torquay - Scarness - Kawungan,2015-11-01,,,,,,,,,
Urangan - Wondunna,2015-11-01,9131,16290,56.1,15817,59940,26.4,1034527,113.3,63.51
Burrum - Fraser,2015-11-01,,,,,,,,,
Maryborough (Qld),2015-11-01,4557,10312,44.2,8492,29764,28.5,507054,111.26,49.17
Tinana,2015-11-01,,,,,,,,,
Balonne,2015-11-01,1626,4620,35.2,2064,13680,15.1,207991,127.94,45.02
Chinchilla,2015-11-01,1725,4740,36.4,1885,11670,16.2,222782,129.12,47
Goondiwindi,2015-11-01,3044,6960,43.7,4362,20310,21.5,356770,117.21,51.26
Miles - Wandoan,2015-11-01,869,4140,21,929,9780,9.5,141920,163.33,34.28
Roma,2015-11-01,3830,8310,46.1,5758,22380,25.7,545042,142.31,65.59
Roma Region,2015-11-01,638,2220,28.7,700,6330,11.1,89998,141.06,40.54
Tara,2015-11-01,,,,,,,,,
Crows Nest - Rosalie,2015-11-01,,,,,,,,,
Jondaryan,2015-11-01,,,,,,,,,
Pittsworth,2015-11-01,,,,,,,,,
Wambo,2015-11-01,3372,8160,41.3,4493,22230,20.2,468769,139.01,57.45
Southern Downs - East,2015-11-01,,,,,,,,,
Stanthorpe,2015-11-01,2130,5040,42.3,3379,16440,20.6,231832,108.84,46
Warwick,2015-11-01,2755,6060,45.5,4747,17280,27.5,275713,100.07,45.5
Darling Heights,2015-11-01,2792,4050,68.9,4408,12870,34.3,340321,121.89,84.03
Drayton - Harristown,2015-11-01,1731,2910,59.5,2124,8460,25.1,227414,131.38,78.15
Highfields,2015-11-01,,,,,,,,,
Newtown (Qld),2015-11-01,,,,,,,,,
North Toowoomba - Harlaxton,2015-11-01,,,,,,,,,
Toowoomba - Central,2015-11-01,9903,17640,56.1,13930,46410,30,1467305,148.16,83.18
Toowoomba - East,2015-11-01,3884,7350,52.8,5894,22470,26.2,484246,124.68,65.88
Toowoomba - West,2015-11-01,,,,,,,,,
Wilsonton,2015-11-01,,,,,,,,,
Kingaroy,2015-11-01,4270,6180,69.1,5134,16080,31.9,529417,123.99,85.67
Kingaroy Region - North,2015-11-01,,,,,,,,,
Nanango,2015-11-01,1207,1530,78.9,1244,3990,31.2,131579,109.01,86
Bargara - Burnett Heads,2015-11-01,4101,7170,57.2,7364,27930,26.4,700126,170.72,97.65
Branyan - Kensington,2015-11-01,,,,,,,,,
Bundaberg,2015-11-01,5023,9540,52.6,7395,25320,29.2,644388,128.3,67.55
Bundaberg Region - South,2015-11-01,813,2010,40.4,1250,7230,17.3,74503,91.64,37.07
Millbank - Avoca,2015-11-01,1384,2880,48.1,1586,8970,17.7,154395,111.56,53.61
Gayndah - Mundubbera,2015-11-01,,,,,,,,,
Gin Gin,2015-11-01,,,,,,,,,
Monto - Eidsvold,2015-11-01,,,,,,,,,
Central Highlands - East,2015-11-01,2266,4290,52.8,2408,10560,22.8,286391,126.4,66.76
Central Highlands - West,2015-11-01,,,,,,,,,
Emerald,2015-11-01,4697,15150,31,5598,39390,14.2,592799,126.21,39.13
Agnes Water - Miriam Vale,2015-11-01,3582,9990,35.9,7621,34770,21.9,760499,212.31,76.13
Banana,2015-11-01,,,,,,,,,
Biloela,2015-11-01,3956,6750,58.6,4709,17100,27.5,554642,140.2,82.17
Boyne Island - Tannum Sands,2015-11-01,729,2370,30.8,1201,6630,18.1,71819,98.54,30.3
Clinton - New Auckland,2015-11-01,,,,,,,,,
Gladstone,2015-11-01,12144,27660,43.9,15252,74610,20.4,1595626,131.4,57.69
Gladstone Hinterland,2015-11-01,,,,,,,,,
West Gladstone,2015-11-01,,,,,,,,,
Berserker,2015-11-01,,,,,,,,,
Emu Park,2015-11-01,,,,,,,,,
Norman Gardens,2015-11-01,2034,3330,61.1,4208,8130,51.8,375246,184.49,112.69
Park Avenue,2015-11-01,3160,6750,46.8,5641,18420,30.6,431333,136.49,63.9
Parkhurst - Kawana,2015-11-01,,,,,,,,,
Rockhampton City,2015-11-01,16810,28200,59.6,25506,70200,36.3,2594579,154.35,92.01
The Range - Allenstown,2015-11-01,5961,10920,54.6,8384,33270,25.2,727080,121.97,66.58
Yeppoon,2015-11-01,4618,13440,34.4,8957,42420,21.1,694359,150.34,51.66
Broadsound - Nebo,2015-11-01,1305,6120,21.3,1385,13620,10.2,163484,125.24,26.71
Clermont,2015-11-01,,,,,,,,,
Moranbah,2015-11-01,2925,7410,39.5,3435,18240,18.8,370676,126.73,50.02
East Mackay,2015-11-01,1873,6450,29,2689,18630,14.4,272207,145.37,42.2
Eimeo - Rural View,2015-11-01,774,3240,23.9,1652,10680,15.5,93502,120.8,28.86
Mackay,2015-11-01,15182,29850,50.9,21378,72620,29.4,2185778,143.97,73.23
Sarina,2015-11-01,1371,2760,49.7,2031,8670,23.4,156504,114.18,56.7
Seaforth - Calen,2015-11-01,,,,,,,,,
Shoal Point - Bucasia,2015-11-01,,,,,,,,,
Slade Point,2015-11-01,,,,,,,,,
South Mackay,2015-11-01,,,,,,,,,
West Mackay,2015-11-01,6569,17160,38.3,8701,48353,18,708422,107.84,41.28
Bowen,2015-11-01,,,,,,,,,
Airlie - Whitsundays,2015-11-01,41459,55410,74.8,97742,193020,50.6,11853285,285.91,213.92
Proserpine,2015-11-01,,,,,,,,,
Ayr,2015-11-01,1002,2310,43.4,1573,6630,23.7,119748,119.51,51.84
Charters Towers,2015-11-01,1700,4650,36.6,2295,13500,17,204583,120.34,44
Ingham,2015-11-01,1260,2880,43.8,1521,8130,18.7,152801,121.27,53.06
Ingham Region,2015-11-01,,,,,,,,,
Palm Island,2015-11-01,,,,,,,,,
Aitkenvale,2015-11-01,,,,,,,,,
Belgian Gardens - Pallarenda,2015-11-01,,,,,,,,,
Deeragun,2015-11-01,,,,,,,,,
Garbutt - West End,2015-11-01,,,,,,,,,
Hermit Park - Rosslea,2015-11-01,3351,7680,43.6,5721,22530,25.4,308650,92.11,40.19
Magnetic Island,2015-11-01,1920,6270,30.6,4419,19380,22.8,249877,130.14,39.85
Mundingburra,2015-11-01,,,,,,,,,
South Townsville - Railway Estate,2015-11-01,15329,23172,66.2,23966,60084,39.9,1839776,120.02,79.4
Townsville City - North Ward,2015-11-01,21639,37620,57.5,32707,95370,34.3,2467854,114.05,65.6
Wulguru - Roseneath,2015-11-01,,,,,,,,,
Clifton Beach - Kewarra Beach,2015-11-01,,,,,,,,,
Freshwater - Stratford,2015-11-01,,,,,,,,,
Trinity Beach - Smithfield,2015-11-01,5790,10050,57.6,12792,37560,34.1,730913,126.24,72.73
Yorkeys Knob - Machans Beach,2015-11-01,,,,,,,,,
Cairns City,2015-11-01,116816,156312,74.7,205932,435632,47.3,14999518,128.4,95.96
Earlville - Bayview Heights,2015-11-01,,,,,,,,,
Manunda,2015-11-01,,,,,,,,,
Woree,2015-11-01,2286,3960,57.7,4678,8850,52.9,225880,98.82,57.04
Innisfail,2015-11-01,,,,,,,,,
Johnstone,2015-11-01,,,,,,,,,
Tully,2015-11-01,2889,7980,36.2,4663,24750,18.8,338829,117.28,42.46
Daintree,2015-11-01,1633,3600,45.4,3053,9810,31.1,383924,235.1,106.65
Port Douglas,2015-11-01,35998,73100,49.2,77670,232502,33.4,5855920,162.67,80.11
Atherton,2015-11-01,1324,2670,49.6,1937,6782,28.6,148262,111.99,55.53
Malanda - Yungaburra,2015-11-01,,,,,,,,,
Mareeba,2015-11-01,,,,,,,,,
Cape York,2015-11-01,2364,5490,43.1,3152,11910,26.5,270736,114.53,49.31
Croydon - Etheridge,2015-11-01,,,,,,,,,
Northern Peninsula,2015-11-01,,,,,,,,,
Torres,2015-11-01,,,,,,,,,
Weipa,2015-11-01,,,,,,,,,
Carpentaria,2015-11-01,771,2700,28.6,1056,7890,13.4,93265,120.96,34.54
Mount Isa,2015-11-01,4110,10770,38.2,4908,27480,17.9,559999,136.27,52
Mount Isa Region,2015-11-01,1247,2460,50.7,1494,5910,25.3,137826,110.54,56.03
Northern Highlands,2015-11-01,1271,2580,49.3,1540,8160,18.9,148910,117.16,57.72
Barcaldine - Blackall,2015-11-01,1364,3900,35,2654,11550,23,182799,134.01,46.87
Charleville,2015-11-01,1242,3630,34.2,1453,9720,14.9,139222,112.1,38.35
Far Central West,2015-11-01,550,2070,26.6,908,5910,15.4,63206,114.82,30.53
Far South West,2015-11-01,,,,,,,,,
Longreach,2015-11-01,,,,,,,,,
Migratory - Offshore - Shipping (Qld),2015-11-01,31736,40500,78.4,72874,119670,60.9,10698521,337.11,264.16
Burleigh Heads,2015-12-01,6945,9362,74.2,19509,32085,60.8,1521245,219.04,162.49
Mermaid Beach - Broadbeach,2015-12-01,62183,86180,72.2,145504,283123,51.4,13858452,222.87,160.81
Mermaid Waters,2015-12-01,,,,,,,,,
Miami,2015-12-01,3058,4247,72,6554,13423,48.8,316890,103.63,74.62
Coolangatta,2015-12-01,19394,24397,79.5,45702,80042,57.1,3330894,171.75,136.53
Currumbin - Tugun,2015-12-01,,,,,,,,,
Palm Beach,2015-12-01,3364,4433,75.9,5487,13609,40.3,465761,138.45,105.07
Biggera Waters,2015-12-01,4692,6231,75.3,10100,20925,48.3,843463,179.78,135.37
Labrador,2015-12-01,,,,,,,,,
Paradise Point - Hollywell,2015-12-01,,,,,,,,,
Runaway Bay,2015-12-01,,,,,,,,,
