sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Busselton,2015-10-01,12369,23343,53,28118,86149,32.6,1908566,154.3,81.76
Busselton Region,2015-10-01,5291,9517,55.6,14089,42780,32.9,1374069,259.7,144.38
Margaret River,2015-10-01,6617,10540,62.8,13795,28861,47.8,1054691,159.39,100.07
Bunbury,2015-10-01,11488,17794,64.6,18412,47244,39,1681175,146.34,94.48
Collie,2015-10-01,1690,3131,54,3344,7471,44.8,159438,94.34,50.92
Eaton - Pelican Point,2015-10-01,,,,,,,,,
Harvey,2015-10-01,,,,,,,,,
Bridgetown - Boyup Brook,2015-10-01,,,,,,,,,
Donnybrook - Balingup,2015-10-01,,,,,,,,,
Manjimup,2015-10-01,,,,,,,,,
Pemberton,2015-10-01,3207,7378,43.5,6755,20646,32.7,445364,138.85,60.36
Albany,2015-10-01,8407,14477,58.1,13826,42470,32.6,1168257,138.96,80.7
Denmark,2015-10-01,857,2015,42.6,1647,6076,27.1,70076,81.73,34.78
Gnowangerup,2015-10-01,,,,,,,,,
Katanning,2015-10-01,,,,,,,,,
Kojonup,2015-10-01,,,,,,,,,
McKail - Willyung,2015-10-01,,,,,,,,,
Plantagenet,2015-10-01,,,,,,,,,
Broome,2015-10-01,23296,39649,58.8,43750,113553,38.5,4553650,195.47,114.85
Derby - West Kimberley,2015-10-01,1683,6727,25,2019,18383,11,327440,194.56,48.68
Halls Creek,2015-10-01,,,,,,,,,
Kununurra,2015-10-01,3651,12338,29.6,5122,31713,16.2,802664,219.85,65.06
Roebuck,2015-10-01,,,,,,,,,
Ashburton (WA),2015-10-01,10413,21514,48.4,11005,37200,29.6,930041,89.32,43.23
East Pilbara,2015-10-01,,,,,,,,,
Karratha,2015-10-01,5770,9858,58.5,6335,20739,30.5,1280290,221.89,129.87
Newman,2015-10-01,6804,11377,59.8,6824,19034,35.9,718683,105.63,63.17
Port Hedland,2015-10-01,4108,10523,39,5532,19590,28.2,825538,200.96,78.45
Roebourne,2015-10-01,,,,,,,,,
South Hedland,2015-10-01,,,,,,,,,
Carnarvon,2015-10-01,2582,4929,52.4,5246,16461,31.9,457346,177.13,92.79
Exmouth,2015-10-01,8700,14694,59.2,15465,46407,33.3,1423549,163.63,96.88
Geraldton,2015-10-01,8551,15221,56.2,13893,47492,29.3,1583997,185.25,104.07
Geraldton - South,2015-10-01,,,,,,,,,
Irwin,2015-10-01,,,,,,,,,
Morawa,2015-10-01,,,,,,,,,
Northampton - Mullewa - Greenough,2015-10-01,,,,,,,,,
