sa2_name_2011,date,Establishments (no.),Rooms (no.),Bed spaces (no.)
Grenfell,2015-07-01,1,,
Parkes (NSW),2015-07-01,10,293,793
West Wyalong,2015-07-01,7,165,401
Mudgee,2015-07-01,8,293,812
Mudgee Region - West,2015-07-01,2,,
Blayney,2015-07-01,2,,
Orange,2015-07-01,13,549,1366
Orange Region,2015-07-01,1,,
Coonamble,2015-07-01,2,,
Coonabarabran,2015-07-01,12,293,868
Dubbo - East,2015-07-01,2,,
Dubbo - South,2015-07-01,22,676,2134
Dubbo - West,2015-07-01,9,331,949
Gilgandra,2015-07-01,5,113,317
Narromine,2015-07-01,3,63,196
Wellington,2015-07-01,2,,
Branxton - Greta - Pokolbin,2015-07-01,15,1052,3404
Cessnock,2015-07-01,8,241,631
Cessnock Region,2015-07-01,1,,
Singleton,2015-07-01,7,294,713
Maitland,2015-07-01,2,,
Maitland - East,2015-07-01,2,,
Maitland - West,2015-07-01,4,173,450
Nelson Bay Peninsula,2015-07-01,14,994,2928
Raymond Terrace,2015-07-01,4,178,582
Williamtown - Medowie - Karuah,2015-07-01,1,,
Muswellbrook,2015-07-01,7,227,786
Muswellbrook Region,2015-07-01,1,,
Scone,2015-07-01,5,117,341
Scone Region,2015-07-01,3,47,108
Gloucester,2015-07-01,2,,
Belmont - Bennetts Green,2015-07-01,1,,
Belmont South - Blacksmiths,2015-07-01,3,64,173
Charlestown - Dudley,2015-07-01,5,200,582
Glendale - Cardiff - Hillsborough,2015-07-01,2,,
Swansea - Caves Beach,2015-07-01,2,,
Warners Bay - Boolaroo,2015-07-01,2,,
Bonnells Bay - Silverwater,2015-07-01,1,,
Toronto - Awaba,2015-07-01,2,,
Adamstown - Kotara,2015-07-01,3,104,270
Beresfield - Hexham,2015-07-01,1,,
Hamilton - Broadmeadow,2015-07-01,3,81,242
Lambton - New Lambton,2015-07-01,2,,
Mayfield - Warabrook,2015-07-01,5,193,527
Merewether - The Junction,2015-07-01,1,,
Newcastle - Cooks Hill,2015-07-01,8,686,1838
Stockton - Fullerton Cove,2015-07-01,2,,
Wallsend - Elermore Vale,2015-07-01,1,,
Armidale,2015-07-01,17,444,1407
Armidale Region - North,2015-07-01,1,,
Armidale Region - South,2015-07-01,2,,
Walcha,2015-07-01,1,,
Glen Innes,2015-07-01,6,145,389
Inverell,2015-07-01,5,108,290
Tenterfield,2015-07-01,9,201,604
Moree,2015-07-01,11,,
Narrabri,2015-07-01,7,200,595
Narrabri Region,2015-07-01,1,,
Gunnedah,2015-07-01,6,160,409
Quirindi,2015-07-01,2,,
Tamworth - East,2015-07-01,12,443,1218
Tamworth - North,2015-07-01,14,447,1300
Bourke - Brewarrina,2015-07-01,3,74,245
Cobar,2015-07-01,5,,
Nyngan - Warren,2015-07-01,5,125,353
Walgett - Lightning Ridge,2015-07-01,5,,
Broken Hill,2015-07-01,12,318,838
Far West,2015-07-01,2,,
Avoca Beach - Copacabana,2015-07-01,2,,
Gosford - Springfield,2015-07-01,7,292,750
Kariong,2015-07-01,1,,
Terrigal - North Avoca,2015-07-01,5,343,1241
Umina - Booker Bay - Patonga,2015-07-01,2,,
Wamberal - Forresters Beach,2015-07-01,3,,
Woy Woy - Blackwall,2015-07-01,2,,
Wyoming,2015-07-01,1,,
Chittaway Bay - Tumbi Umbi,2015-07-01,1,,
Gorokan - Kanwal - Charmhaven,2015-07-01,2,,
The Entrance,2015-07-01,10,399,1002
Toukley - Norah Head,2015-07-01,2,,
Wyong,2015-07-01,2,,
Oberon,2015-07-01,4,166,432
Lithgow,2015-07-01,6,,
Lithgow Region,2015-07-01,2,,
Blackheath - Megalong Valley,2015-07-01,7,193,518
Katoomba - Leura,2015-07-01,17,867,2418
Springwood - Winmalee,2015-07-01,1,,
Grafton,2015-07-01,11,300,871
Grafton Region,2015-07-01,1,,
Maclean - Yamba - Iluka,2015-07-01,9,242,765
Coffs Harbour - North,2015-07-01,13,699,1756
Coffs Harbour - South,2015-07-01,14,445,1330
Dorrigo,2015-07-01,1,,
Korora - Emerald Beach,2015-07-01,4,163,565
Sawtell - Boambee,2015-07-01,2,,
Urunga,2015-07-01,1,,
Woolgoolga - Arrawarra,2015-07-01,5,,
Tea Gardens - Hawks Nest,2015-07-01,5,142,478
Bulahdelah - Stroud,2015-07-01,3,65,180
Forster,2015-07-01,10,270,768
Forster-Tuncurry Region,2015-07-01,1,,
Tuncurry,2015-07-01,3,66,217
Kempsey,2015-07-01,9,,
Kempsey Region,2015-07-01,1,,
Macksville - Scotts Head,2015-07-01,2,,
Nambucca Heads,2015-07-01,4,108,341
South West Rocks,2015-07-01,3,80,260
Lord Howe Island,2015-07-01,1,,
Laurieton - Bonny Hills,2015-07-01,2,,
Port Macquarie - East,2015-07-01,22,911,2956
Port Macquarie - West,2015-07-01,8,299,865
Wauchope,2015-07-01,1,,
Old Bar - Manning Point - Red Head,2015-07-01,3,116,482
Taree,2015-07-01,14,298,814
Taree Region,2015-07-01,1,,
Wingham,2015-07-01,2,,
Ballina,2015-07-01,12,412,1149
Ballina Region,2015-07-01,2,,
Brunswick Heads - Ocean Shores,2015-07-01,2,,
Byron Bay,2015-07-01,15,454,1281
Evans Head,2015-07-01,2,,
Lennox Head - Skennars Head,2015-07-01,1,,
Casino,2015-07-01,4,86,231
Lismore,2015-07-01,9,260,733
Kingscliff - Fingal Head,2015-07-01,5,624,1362
Murwillumbah,2015-07-01,2,,
Pottsville,2015-07-01,5,171,585
Tweed Heads,2015-07-01,7,465,1874
Tweed Heads - South,2015-07-01,5,106,329
Batemans Bay,2015-10-01,14,453,1485
Batemans Bay - South,2015-10-01,4,97,284
Bega - Tathra,2015-10-01,4,112,301
Eden,2015-10-01,7,167,410
Eurobodalla Hinterland,2015-10-01,2,,
Merimbula - Tura Beach,2015-10-01,16,393,1151
Moruya - Tuross Head,2015-10-01,3,60,178
Narooma - Bermagui,2015-10-01,5,113,307
Berkeley - Warrawong - Windang,2015-10-01,2,,
Dapto - Avondale,2015-10-01,2,,
Albion Park Rail,2015-10-01,1,,
Kiama,2015-10-01,3,,
Kiama Hinterland - Gerringong,2015-10-01,4,141,367
Shellharbour - Flinders,2015-10-01,3,78,215
Warilla,2015-10-01,1,,
Balgownie - Fairy Meadow,2015-10-01,2,,
Thirroul - Austinmer - Coalcliff,2015-10-01,1,,
Wollongong,2015-10-01,17,888,2095
Woonona - Bulli - Russell Vale,2015-10-01,1,,
Berry - Kangaroo Valley,2015-10-01,4,111,449
Huskisson - Vincentia,2015-10-01,4,98,320
North Nowra - Bomaderry,2015-10-01,2,,
Nowra,2015-10-01,8,297,817
Ulladulla,2015-10-01,9,207,563
Ulladulla Region,2015-10-01,1,,
Baulkham Hills (West) - Bella Vista,2015-10-01,2,,
Castle Hill,2015-10-01,2,,
Dural - Kenthurst - Wisemans Ferry,2015-10-01,2,,
Pitt Town - McGraths Hill,2015-10-01,2,,
Blacktown (South),2015-10-01,1,,
Seven Hills - Toongabbie,2015-10-01,2,,
Glendenning Dean Park,2015-10-01,1,,
Mount Druitt - Whalan,2015-10-01,1,,
Rooty Hill - Minchinbury,2015-10-01,1,,
Mascot - Eastlakes,2015-10-01,7,1496,3309
Sydney Airport,2015-10-01,1,,
Sydenham - Tempe - St Peters,2015-10-01,1,,
Darlinghurst,2015-10-01,8,563,1503
Glebe - Forest Lodge,2015-10-01,3,125,290
Newtown - Camperdown - Darlington,2015-10-01,4,311,818
Potts Point - Woolloomooloo,2015-10-01,15,1488,3154
Pyrmont - Ultimo,2015-10-01,7,1966,4871
Redfern - Chippendale,2015-10-01,6,288,686
Surry Hills,2015-10-01,8,1012,2473
Sydney - Haymarket - The Rocks,2015-10-01,76,15607,35793
Waterloo - Beaconsfield,2015-10-01,2,,
Bondi Beach - North Bondi,2015-10-01,3,,
Bondi Junction - Waverly,2015-10-01,2,,
Double Bay - Bellevue Hill,2015-10-01,3,,
Paddington - Moore Park,2015-10-01,1,,
Woollahra,2015-10-01,1,,
Coogee - Clovelly,2015-10-01,5,464,1383
Kensington - Kingsford,2015-10-01,2,,
Maroubra,2015-10-01,1,,
Randwick,2015-10-01,9,252,610
Bankstown,2015-10-01,2,,
Bass Hill - Georges Hall,2015-10-01,3,200,607
Condell Park,2015-10-01,1,,
Greenacre - Mount Lewis,2015-10-01,4,217,531
South Hurstville - Blakehurst,2015-10-01,1,,
Arncliffe - Bardwell Valley,2015-10-01,3,452,922
Monterey - Brighton-le-Sands - Kyeemagh,2015-10-01,1,,
Drummoyne - Rodd Point,2015-10-01,1,,
Ashfield,2015-10-01,4,160,354
Burwood - Croydon,2015-10-01,1,,
Haberfield - Summer Hill,2015-10-01,2,,
Homebush,2015-10-01,2,,
Strathfield,2015-10-01,1,,
Chatswood (East) - Artarmon,2015-10-01,3,,
Chatswood (West) - Lane Cove North,2015-10-01,2,,
Lane Cove - Greenwich,2015-10-01,5,258,574
St Leonards - Naremburn,2015-10-01,1,,
Hornsby - Waitara,2015-10-01,2,,
Normanhurst - Thornleigh - Westleigh,2015-10-01,1,,
Gordon - Killara,2015-10-01,1,,
Cremorne - Cammeray,2015-10-01,2,,
Neutral Bay - Kirribilli,2015-10-01,1,,
North Sydney - Lavender Bay,2015-10-01,5,499,1233
Manly - Fairlight,2015-10-01,9,568,1362
Newport - Bilgola,2015-10-01,1,,
Freshwater - Brookvale,2015-10-01,1,,
Narrabeen - Collaroy,2015-10-01,1,,
Terrey Hills - Duffys Forest,2015-10-01,1,,
Camden - Ellis Lane,2015-10-01,2,,
Elderslie - Harrington Park,2015-10-01,1,,
Campbelltown - Woodbine,2015-10-01,6,420,1230
Picton - Tahmoor - Buxton,2015-10-01,1,,
Cambridge Park,2015-10-01,1,,
Jamisontown - South Penrith,2015-10-01,2,,
Penrith,2015-10-01,2,,
Richmond - Clarendon,2015-10-01,3,89,264
Windsor - Bligh Park,2015-10-01,3,146,338
St Clair,2015-10-01,1,,
St Marys - Colyton,2015-10-01,2,,
Homebush Bay - Silverwater,2015-10-01,3,496,1216
Lidcombe - Regents Park,2015-10-01,2,,
Guildford West - Merrylands West,2015-10-01,1,,
Girraween - Westmead,2015-10-01,1,,
North Parramatta,2015-10-01,1,,
Northmead,2015-10-01,1,,
Parramatta - Rosehill,2015-10-01,9,1318,3173
Pennant Hills - Cheltenham,2015-10-01,1,,
Hunters Hill - Woolwich,2015-10-01,1,,
Macquarie Park - Marsfield,2015-10-01,5,604,1348
North Ryde - East Ryde,2015-10-01,1,,
Ryde - Putney,2015-10-01,1,,
West Ryde - Meadowbank,2015-10-01,1,,
Cabramatta - Lansvale,2015-10-01,2,,
Casula,2015-10-01,5,310,933
Liverpool - Warwick Farm,2015-10-01,4,217,664
Prestons - Lurnea,2015-10-01,1,,
Cronulla - Kurnell - Bundeena,2015-10-01,3,,
Miranda - Yowie Bay,2015-10-01,1,,
Sylvania - Taren Point,2015-10-01,1,,
Engadine - Loftus,2015-10-01,1,,
Menai - Lucas Heights - Woronora,2015-10-01,1,,
Sutherland - Kirrawee,2015-10-01,1,,
Bombala,2015-10-01,1,,
Cooma,2015-10-01,10,304,918
Cooma Region,2015-10-01,4,,
Jindabyne - Berridale,2015-10-01,44,1960,7696
Tumbarumba,2015-10-01,3,83,228
Tumut,2015-10-01,6,,
Goulburn,2015-10-01,14,484,1332
Yass,2015-10-01,6,151,459
Yass Region,2015-10-01,4,211,745
Young,2015-10-01,4,112,321
Young Region,2015-10-01,1,,
Queanbeyan,2015-10-01,7,222,640
Queanbeyan - East,2015-10-01,5,233,632
Queanbeyan Region,2015-10-01,1,,
Queanbeyan West - Jerrabomberra,2015-10-01,1,,
Bowral,2015-10-01,8,293,651
Mittagong,2015-10-01,5,151,398
Moss Vale - Berrima,2015-10-01,4,114,261
Southern Highlands,2015-10-01,3,,
Albury - East,2015-10-01,2,,
Albury - North,2015-10-01,1,,
Albury - South,2015-10-01,26,1058,2945
Albury Region,2015-10-01,3,73,178
Lavington,2015-10-01,4,171,460
Wentworth - Buronga,2015-10-01,10,250,763
Wentworth-Balranald Region,2015-10-01,6,120,286
Corowa,2015-10-01,7,166,465
Corowa Region,2015-10-01,5,143,448
Deniliquin,2015-10-01,7,147,423
Deniliquin Region,2015-10-01,8,199,676
Moama,2015-10-01,11,351,1031
Tocumwal - Finley - Jerilderie,2015-10-01,17,413,1342
Hay,2015-10-01,7,176,479
Griffith (NSW),2015-10-01,10,342,1034
Leeton,2015-10-01,4,115,344
Narrandera,2015-10-01,5,130,325
Cootamundra,2015-10-01,5,111,260
Gundagai,2015-10-01,7,174,509
Junee,2015-10-01,2,,
Temora,2015-10-01,2,,
Wagga Wagga - East,2015-10-01,4,152,501
Wagga Wagga - North,2015-10-01,1,,
Wagga Wagga - West,2015-10-01,24,860,2449
Wagga Wagga Region,2015-10-01,1,,
Bathurst,2015-10-01,14,579,1672
Bathurst - East,2015-10-01,1,,
Condobolin,2015-10-01,2,,
Cowra,2015-10-01,7,165,443
Cowra Region,2015-10-01,1,,
Forbes,2015-10-01,6,156,439
Grenfell,2015-10-01,1,,
Parkes (NSW),2015-10-01,10,293,793
West Wyalong,2015-10-01,7,165,401
Mudgee,2015-10-01,8,293,812
Mudgee Region - West,2015-10-01,2,,
Blayney,2015-10-01,2,,
Orange,2015-10-01,13,561,1408
Orange Region,2015-10-01,1,,
Coonamble,2015-10-01,2,,
Coonabarabran,2015-10-01,12,293,851
Dubbo - East,2015-10-01,2,,
Dubbo - South,2015-10-01,22,676,2135
Dubbo - West,2015-10-01,9,331,949
Gilgandra,2015-10-01,5,113,317
Narromine,2015-10-01,3,63,196
Wellington,2015-10-01,2,,
Branxton - Greta - Pokolbin,2015-10-01,15,1052,3804
Cessnock,2015-10-01,8,241,631
Cessnock Region,2015-10-01,1,,
Singleton,2015-10-01,7,294,713
Maitland,2015-10-01,2,,
Maitland - East,2015-10-01,2,,
Maitland - West,2015-10-01,4,173,450
Nelson Bay Peninsula,2015-10-01,14,994,2936
Raymond Terrace,2015-10-01,4,178,582
Williamtown - Medowie - Karuah,2015-10-01,1,,
Muswellbrook,2015-10-01,7,227,786
Muswellbrook Region,2015-10-01,1,,
Scone,2015-10-01,5,117,341
Scone Region,2015-10-01,3,47,108
Gloucester,2015-10-01,2,,
Belmont - Bennetts Green,2015-10-01,1,,
Belmont South - Blacksmiths,2015-10-01,3,64,173
Charlestown - Dudley,2015-10-01,5,200,629
Glendale - Cardiff - Hillsborough,2015-10-01,2,,
Swansea - Caves Beach,2015-10-01,2,,
Warners Bay - Boolaroo,2015-10-01,2,,
Bonnells Bay - Silverwater,2015-10-01,1,,
Toronto - Awaba,2015-10-01,2,,
Adamstown - Kotara,2015-10-01,3,104,270
Beresfield - Hexham,2015-10-01,1,,
Hamilton - Broadmeadow,2015-10-01,3,81,242
Lambton - New Lambton,2015-10-01,2,,
Mayfield - Warabrook,2015-10-01,5,193,527
Merewether - The Junction,2015-10-01,1,,
Newcastle - Cooks Hill,2015-10-01,8,686,1838
Stockton - Fullerton Cove,2015-10-01,2,,
Wallsend - Elermore Vale,2015-10-01,1,,
Armidale,2015-10-01,17,444,1367
Armidale Region - North,2015-10-01,1,,
Armidale Region - South,2015-10-01,2,,
Walcha,2015-10-01,1,,
Glen Innes,2015-10-01,6,145,389
Inverell,2015-10-01,5,106,286
Tenterfield,2015-10-01,9,201,604
Moree,2015-10-01,11,,
Narrabri,2015-10-01,7,200,595
Narrabri Region,2015-10-01,1,,
Gunnedah,2015-10-01,6,160,409
Quirindi,2015-10-01,2,,
Tamworth - East,2015-10-01,12,443,1228
Tamworth - North,2015-10-01,14,447,1300
Bourke - Brewarrina,2015-10-01,3,74,241
Cobar,2015-10-01,5,185,506
Nyngan - Warren,2015-10-01,5,125,353
Walgett - Lightning Ridge,2015-10-01,5,,
Broken Hill,2015-10-01,12,318,838
Far West,2015-10-01,2,,
Avoca Beach - Copacabana,2015-10-01,2,,
Gosford - Springfield,2015-10-01,7,292,750
Kariong,2015-10-01,1,,
Terrigal - North Avoca,2015-10-01,5,343,1241
Umina - Booker Bay - Patonga,2015-10-01,2,,
Wamberal - Forresters Beach,2015-10-01,3,106,297
Woy Woy - Blackwall,2015-10-01,2,,
Wyoming,2015-10-01,1,,
Chittaway Bay - Tumbi Umbi,2015-10-01,1,,
Gorokan - Kanwal - Charmhaven,2015-10-01,2,,
The Entrance,2015-10-01,10,400,1006
Toukley - Norah Head,2015-10-01,2,,
Wyong,2015-10-01,2,,
Oberon,2015-10-01,4,166,432
Lithgow,2015-10-01,6,,
Lithgow Region,2015-10-01,2,,
Blackheath - Megalong Valley,2015-10-01,7,193,524
Katoomba - Leura,2015-10-01,17,875,2434
Springwood - Winmalee,2015-10-01,1,,
Grafton,2015-10-01,11,300,871
Grafton Region,2015-10-01,1,,
Maclean - Yamba - Iluka,2015-10-01,9,242,765
Coffs Harbour - North,2015-10-01,13,699,1757
Coffs Harbour - South,2015-10-01,14,447,1340
Dorrigo,2015-10-01,1,,
Korora - Emerald Beach,2015-10-01,4,163,569
Sawtell - Boambee,2015-10-01,2,,
Urunga,2015-10-01,1,,
Woolgoolga - Arrawarra,2015-10-01,5,,
Tea Gardens - Hawks Nest,2015-10-01,5,142,478
Bulahdelah - Stroud,2015-10-01,3,65,180
Forster,2015-10-01,10,271,774
Forster-Tuncurry Region,2015-10-01,1,,
Tuncurry,2015-10-01,3,66,217
Kempsey,2015-10-01,9,,
Kempsey Region,2015-10-01,1,,
Macksville - Scotts Head,2015-10-01,2,,
Nambucca Heads,2015-10-01,4,108,341
South West Rocks,2015-10-01,3,80,260
Lord Howe Island,2015-10-01,1,,
Laurieton - Bonny Hills,2015-10-01,2,,
Port Macquarie - East,2015-10-01,21,889,2858
Port Macquarie - West,2015-10-01,8,299,865
Wauchope,2015-10-01,1,,
Old Bar - Manning Point - Red Head,2015-10-01,3,116,490
Taree,2015-10-01,14,298,812
Taree Region,2015-10-01,1,,
Wingham,2015-10-01,2,,
Ballina,2015-10-01,12,412,1149
Ballina Region,2015-10-01,2,,
Brunswick Heads - Ocean Shores,2015-10-01,2,,
Byron Bay,2015-10-01,15,454,1281
Evans Head,2015-10-01,2,,
Lennox Head - Skennars Head,2015-10-01,1,,
Casino,2015-10-01,4,86,231
Lismore,2015-10-01,9,260,733
Kingscliff - Fingal Head,2015-10-01,5,624,1362
Murwillumbah,2015-10-01,2,,
Pottsville,2015-10-01,5,171,585
Tweed Heads,2015-10-01,7,467,1888
Tweed Heads - South,2015-10-01,5,106,329
Batemans Bay,2016-01-01,14,447,1476
Batemans Bay - South,2016-01-01,4,97,284
Bega - Tathra,2016-01-01,4,112,301
Eden,2016-01-01,7,167,410
Eurobodalla Hinterland,2016-01-01,2,,
Merimbula - Tura Beach,2016-01-01,16,393,1151
Moruya - Tuross Head,2016-01-01,3,60,178
Narooma - Bermagui,2016-01-01,5,113,307
Berkeley - Warrawong - Windang,2016-01-01,2,,
Dapto - Avondale,2016-01-01,2,,
Albion Park Rail,2016-01-01,1,,
Kiama,2016-01-01,3,,
Kiama Hinterland - Gerringong,2016-01-01,4,141,367
Shellharbour - Flinders,2016-01-01,3,78,215
Warilla,2016-01-01,1,,
Balgownie - Fairy Meadow,2016-01-01,2,,
Thirroul - Austinmer - Coalcliff,2016-01-01,1,,
Wollongong,2016-01-01,17,887,2093
Woonona - Bulli - Russell Vale,2016-01-01,1,,
Berry - Kangaroo Valley,2016-01-01,4,111,449
Huskisson - Vincentia,2016-01-01,4,98,320
North Nowra - Bomaderry,2016-01-01,2,,
Nowra,2016-01-01,8,297,817
Ulladulla,2016-01-01,9,207,563
Ulladulla Region,2016-01-01,1,,
Baulkham Hills (West) - Bella Vista,2016-01-01,2,,
Castle Hill,2016-01-01,2,,
Dural - Kenthurst - Wisemans Ferry,2016-01-01,2,,
Pitt Town - McGraths Hill,2016-01-01,2,,
Blacktown (South),2016-01-01,1,,
Seven Hills - Toongabbie,2016-01-01,2,,
Glendenning Dean Park,2016-01-01,1,,
Mount Druitt - Whalan,2016-01-01,1,,
Rooty Hill - Minchinbury,2016-01-01,1,,
Mascot - Eastlakes,2016-01-01,7,1496,3309
Sydney Airport,2016-01-01,1,,
Sydenham - Tempe - St Peters,2016-01-01,1,,
Darlinghurst,2016-01-01,8,565,1381
Glebe - Forest Lodge,2016-01-01,3,125,290
Newtown - Camperdown - Darlington,2016-01-01,4,311,824
Potts Point - Woolloomooloo,2016-01-01,15,1488,3156
Pyrmont - Ultimo,2016-01-01,7,1990,4871
Redfern - Chippendale,2016-01-01,6,288,693
Surry Hills,2016-01-01,8,1012,2473
Sydney - Haymarket - The Rocks,2016-01-01,77,15781,36069
Waterloo - Beaconsfield,2016-01-01,2,,
Bondi Beach - North Bondi,2016-01-01,3,,
Bondi Junction - Waverly,2016-01-01,2,,
Double Bay - Bellevue Hill,2016-01-01,3,,
Paddington - Moore Park,2016-01-01,1,,
Woollahra,2016-01-01,1,,
Coogee - Clovelly,2016-01-01,5,464,1383
Kensington - Kingsford,2016-01-01,2,,
Maroubra,2016-01-01,1,,
Randwick,2016-01-01,9,253,610
Bankstown,2016-01-01,2,,
Bass Hill - Georges Hall,2016-01-01,3,200,607
Condell Park,2016-01-01,1,,
Greenacre - Mount Lewis,2016-01-01,4,217,531
South Hurstville - Blakehurst,2016-01-01,1,,
Arncliffe - Bardwell Valley,2016-01-01,3,452,922
Monterey - Brighton-le-Sands - Kyeemagh,2016-01-01,1,,
Drummoyne - Rodd Point,2016-01-01,1,,
Ashfield,2016-01-01,4,160,354
Burwood - Croydon,2016-01-01,1,,
Haberfield - Summer Hill,2016-01-01,2,,
Homebush,2016-01-01,2,,
Strathfield,2016-01-01,1,,
Chatswood (East) - Artarmon,2016-01-01,3,,
Chatswood (West) - Lane Cove North,2016-01-01,2,,
Lane Cove - Greenwich,2016-01-01,5,258,574
St Leonards - Naremburn,2016-01-01,1,,
Hornsby - Waitara,2016-01-01,2,,
Normanhurst - Thornleigh - Westleigh,2016-01-01,1,,
Gordon - Killara,2016-01-01,1,,
Cremorne - Cammeray,2016-01-01,2,,
Neutral Bay - Kirribilli,2016-01-01,1,,
North Sydney - Lavender Bay,2016-01-01,5,499,1233
Manly - Fairlight,2016-01-01,9,568,1379
Newport - Bilgola,2016-01-01,1,,
Freshwater - Brookvale,2016-01-01,1,,
Narrabeen - Collaroy,2016-01-01,1,,
Terrey Hills - Duffys Forest,2016-01-01,1,,
Camden - Ellis Lane,2016-01-01,2,,
Elderslie - Harrington Park,2016-01-01,1,,
Campbelltown - Woodbine,2016-01-01,6,419,1204
Picton - Tahmoor - Buxton,2016-01-01,1,,
Cambridge Park,2016-01-01,1,,
Jamisontown - South Penrith,2016-01-01,2,,
Penrith,2016-01-01,2,,
Richmond - Clarendon,2016-01-01,3,89,264
Windsor - Bligh Park,2016-01-01,3,144,338
St Clair,2016-01-01,1,,
St Marys - Colyton,2016-01-01,2,,
Homebush Bay - Silverwater,2016-01-01,3,496,1216
Lidcombe - Regents Park,2016-01-01,2,,
Guildford West - Merrylands West,2016-01-01,1,,
Girraween - Westmead,2016-01-01,1,,
North Parramatta,2016-01-01,1,,
Northmead,2016-01-01,1,,
Parramatta - Rosehill,2016-01-01,9,1318,3173
Pennant Hills - Cheltenham,2016-01-01,1,,
Hunters Hill - Woolwich,2016-01-01,1,,
Macquarie Park - Marsfield,2016-01-01,5,604,1348
North Ryde - East Ryde,2016-01-01,1,,
Ryde - Putney,2016-01-01,1,,
West Ryde - Meadowbank,2016-01-01,1,,
Cabramatta - Lansvale,2016-01-01,2,,
Casula,2016-01-01,5,314,941
Liverpool - Warwick Farm,2016-01-01,4,217,664
Prestons - Lurnea,2016-01-01,1,,
Cronulla - Kurnell - Bundeena,2016-01-01,3,,
Miranda - Yowie Bay,2016-01-01,1,,
Sylvania - Taren Point,2016-01-01,1,,
Engadine - Loftus,2016-01-01,1,,
Menai - Lucas Heights - Woronora,2016-01-01,1,,
Sutherland - Kirrawee,2016-01-01,1,,
Bombala,2016-01-01,1,,
Cooma,2016-01-01,10,304,918
Cooma Region,2016-01-01,3,,
Jindabyne - Berridale,2016-01-01,44,1956,7683
Tumbarumba,2016-01-01,3,83,228
Tumut,2016-01-01,6,,
Goulburn,2016-01-01,14,484,1333
Yass,2016-01-01,6,151,459
Yass Region,2016-01-01,4,,
Young,2016-01-01,4,112,321
Young Region,2016-01-01,1,,
Queanbeyan,2016-01-01,7,222,645
Queanbeyan - East,2016-01-01,5,233,632
Queanbeyan Region,2016-01-01,1,,
Queanbeyan West - Jerrabomberra,2016-01-01,1,,
Bowral,2016-01-01,8,293,651
Mittagong,2016-01-01,5,151,398
Moss Vale - Berrima,2016-01-01,4,114,261
Southern Highlands,2016-01-01,3,87,221
Albury - East,2016-01-01,2,,
Albury - North,2016-01-01,1,,
Albury - South,2016-01-01,26,1057,2942
Albury Region,2016-01-01,3,73,178
Lavington,2016-01-01,4,171,460
Wentworth - Buronga,2016-01-01,10,250,764
Wentworth-Balranald Region,2016-01-01,6,,
Corowa,2016-01-01,7,166,465
Corowa Region,2016-01-01,5,143,448
Deniliquin,2016-01-01,7,147,423
Deniliquin Region,2016-01-01,8,199,676
Moama,2016-01-01,11,351,1031
Tocumwal - Finley - Jerilderie,2016-01-01,17,413,1342
Hay,2016-01-01,7,176,467
Griffith (NSW),2016-01-01,10,342,1033
Leeton,2016-01-01,4,115,342
Narrandera,2016-01-01,5,130,325
Cootamundra,2016-01-01,5,111,260
Gundagai,2016-01-01,7,174,509
Junee,2016-01-01,2,,
Temora,2016-01-01,2,,
Wagga Wagga - East,2016-01-01,4,152,501
Wagga Wagga - North,2016-01-01,1,,
Wagga Wagga - West,2016-01-01,24,860,2449
Wagga Wagga Region,2016-01-01,1,,
Bathurst,2016-01-01,14,580,1674
Bathurst - East,2016-01-01,1,,
Condobolin,2016-01-01,2,,
Cowra,2016-01-01,7,165,443
Cowra Region,2016-01-01,1,,
Forbes,2016-01-01,6,156,435
Grenfell,2016-01-01,1,,
Parkes (NSW),2016-01-01,10,293,793
West Wyalong,2016-01-01,7,171,429
Mudgee,2016-01-01,8,293,812
Mudgee Region - West,2016-01-01,2,,
Blayney,2016-01-01,2,,
Orange,2016-01-01,13,562,1410
Orange Region,2016-01-01,1,,
Coonamble,2016-01-01,2,,
Coonabarabran,2016-01-01,12,293,850
Dubbo - East,2016-01-01,2,,
Dubbo - South,2016-01-01,22,676,2139
Dubbo - West,2016-01-01,9,331,949
Gilgandra,2016-01-01,5,113,317
Narromine,2016-01-01,3,63,196
Wellington,2016-01-01,2,,
Branxton - Greta - Pokolbin,2016-01-01,15,1052,3804
Cessnock,2016-01-01,8,241,631
Cessnock Region,2016-01-01,1,,
Singleton,2016-01-01,7,,
Maitland,2016-01-01,2,,
Maitland - East,2016-01-01,2,,
Maitland - West,2016-01-01,4,174,457
Nelson Bay Peninsula,2016-01-01,14,994,2936
Raymond Terrace,2016-01-01,4,178,577
Williamtown - Medowie - Karuah,2016-01-01,1,,
Muswellbrook,2016-01-01,7,227,786
Muswellbrook Region,2016-01-01,1,,
Scone,2016-01-01,5,117,341
Scone Region,2016-01-01,3,47,107
Gloucester,2016-01-01,2,,
Belmont - Bennetts Green,2016-01-01,1,,
Belmont South - Blacksmiths,2016-01-01,3,64,173
Charlestown - Dudley,2016-01-01,5,200,611
Glendale - Cardiff - Hillsborough,2016-01-01,2,,
Swansea - Caves Beach,2016-01-01,2,,
Warners Bay - Boolaroo,2016-01-01,2,,
Bonnells Bay - Silverwater,2016-01-01,1,,
Toronto - Awaba,2016-01-01,2,,
Adamstown - Kotara,2016-01-01,3,104,270
Beresfield - Hexham,2016-01-01,1,,
Hamilton - Broadmeadow,2016-01-01,3,81,242
Lambton - New Lambton,2016-01-01,2,,
