tr_code_2015,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
3R120,2015-07-01,264703,345015,76.7,556634,1021720,54.5,42148725,159.23,122.16
3R140,2015-07-01,20013,33976,58.9,30415,95108,32,2498203,124.83,73.53
3R160,2015-07-01,30102,41819,72,74524,123411,60.4,9195701,305.48,219.89
3R010,2015-08-01,301581,433667,69.5,646986,1324263,48.9,45793773,151.85,105.6
3R020,2015-08-01,338143,484245,69.8,536790,1285561,41.8,57232390,169.25,118.19
3R030,2015-08-01,119354,187426,63.7,255653,644521,39.7,20308489,170.15,108.35
3R040,2015-08-01,27912,45780,61,53568,157177,34.1,3203338,114.77,69.97
3R060,2015-08-01,49324,103881,47.5,73114,287711,25.4,6418135,130.12,61.78
3R070,2015-08-01,14298,26567,53.8,21626,81220,26.6,1886921,131.97,71.02
3R080,2015-08-01,73399,150629,48.7,108251,409200,26.5,10342401,140.91,68.66
3R090,2015-08-01,40458,83111,48.7,54304,216370,25.1,5385750,133.12,64.8
3R100,2015-08-01,53526,71827,74.5,122029,231353,52.7,12984693,242.59,180.78
3R110,2015-08-01,63164,95953,65.8,101831,261051,39,8208879,129.96,85.55
3R120,2015-08-01,272501,344835,79,549788,1021110,53.8,42521552,156.04,123.31
3R140,2015-08-01,17847,33976,52.5,26915,95108,28.3,2372035,132.91,69.82
3R160,2015-08-01,30893,41819,73.9,70472,123411,57.1,9955067,322.24,238.05
3R010,2015-09-01,319283,422054,75.6,737708,1287070,57.3,54938846,172.07,130.17
3R020,2015-09-01,346895,472790,73.4,546675,1255939,43.5,59476504,171.45,125.8
3R030,2015-09-01,123979,181380,68.4,297726,623730,47.7,24573904,198.21,135.48
3R040,2015-09-01,29222,46200,63.3,61316,159030,38.6,3701072,126.65,80.11
3R060,2015-09-01,53695,100530,53.4,81258,278430,29.2,7303493,136.02,72.65
3R070,2015-09-01,14730,25710,57.3,23082,78600,29.4,2010291,136.47,78.19
3R080,2015-09-01,70368,145770,48.3,113242,396000,28.6,10327817,146.77,70.85
3R090,2015-09-01,39137,80430,48.7,55454,209391,26.5,5267972,134.6,65.5
3R100,2015-09-01,53804,69510,77.4,133029,223890,59.4,14592696,271.22,209.94
3R110,2015-09-01,59003,94470,62.5,95991,257040,37.3,7423951,125.82,78.59
3R120,2015-09-01,247246,339809,72.8,491173,1009848,48.6,38449111,155.51,113.15
3R140,2015-09-01,17283,32880,52.6,26778,92040,29.1,2209005,127.81,67.18
3R160,2015-09-01,32574,40470,80.5,82333,119430,68.9,11531689,354.02,284.94
3R010,2015-10-01,341232,434225,78.6,767870,1328198,57.8,60117236,176.18,138.45
3R020,2015-10-01,356888,489815,72.9,566140,1319032,42.9,61846759,173.29,126.27
3R030,2015-10-01,127862,187457,68.2,301434,645296,46.7,24586455,192.29,131.16
3R040,2015-10-01,26368,45811,57.6,52729,157456,33.5,3249955,123.25,70.94
3R060,2015-10-01,53320,103344,51.6,77279,287127,26.9,6843296,128.34,66.22
3R070,2015-10-01,14816,26567,55.8,22627,81468,27.8,2029695,136.99,76.4
3R080,2015-10-01,73066,150058,48.7,114212,407881,28,10753899,147.18,71.66
3R090,2015-10-01,34481,83111,41.5,49089,215897,22.7,4600546,133.42,55.35
3R100,2015-10-01,54516,71920,75.8,127588,231911,55,14699387,269.64,204.39
3R110,2015-10-01,54967,96139,57.2,88421,261392,33.8,6851117,124.64,71.26
