Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,318,Townsville,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",3193633.24,*,2874269.91,*,"Nurseries, cut flowers or cultivated turf",Undercover,319,Wide Bay,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",547362.24,*,492626.01,*,"Nurseries, cut flowers or cultivated turf",Undercover,319,Wide Bay,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",2717827.72,*,2446044.95,*,"Nurseries, cut flowers or cultivated turf",Undercover,401,Adelaide - Central and Hills,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",242099.11,^,217889.2,^,"Nurseries, cut flowers or cultivated turf",Undercover,401,Adelaide - Central and Hills,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",2351193.39,*,2116074.05,*,"Nurseries, cut flowers or cultivated turf",Undercover,402,Adelaide - North,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",230315.61,^,207284.05,^,"Nurseries, cut flowers or cultivated turf",Undercover,402,Adelaide - North,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",3805345.46,**,3424810.91,**,"Nurseries, cut flowers or cultivated turf",Undercover,403,Adelaide - South,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",41161.63,**,37045.47,**,"Nurseries, cut flowers or cultivated turf",Undercover,403,Adelaide - South,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",8047732.92,,7242959.63,,"Nurseries, cut flowers or cultivated turf",Undercover,407,South Australia - South East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",409661.44,*,368695.3,*,"Nurseries, cut flowers or cultivated turf",Undercover,407,South Australia - South East,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,501,Bunbury,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",5926208.15,*,5333587.33,*,"Nurseries, cut flowers or cultivated turf",Undercover,505,Perth - North West,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",803112.57,^,722801.31,^,"Nurseries, cut flowers or cultivated turf",Undercover,505,Perth - North West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,506,Perth - South East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",,,np,,"Nurseries, cut flowers or cultivated turf",Undercover,506,Perth - South East,,,
