lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
15650,Muswellbrook (A),1685,0,330,0,0,0,72,0,0,0,247,834,523,1697,191,167,209,291,0,193
15700,Nambucca (A),1283,0,610,372,0,0,80,0,0,1373,0,1807,1777,4435,1432,949,1032,270,244,877
15750,Narrabri (A),921,0,0,0,0,0,0,0,0,0,0,1680,254,2278,163,644,75,0,66,122
15800,Narrandera (A),965,0,343,0,0,0,0,0,0,0,0,431,73,665,0,0,0,0,0,0
15850,Narromine (A),479,429,0,0,0,0,0,0,0,0,0,747,0,176,0,130,0,75,118,0
15900,Newcastle (C),37054,8349,5146,9788,10331,2599,4808,4680,7919,19159,5279,40956,13585,51196,31812,12658,11653,4095,6092,8005
15950,North Sydney (A),35972,16813,7006,8285,4565,2770,2460,2345,3323,8504,7295,23031,4579,34212,8100,3949,6724,1400,2704,1385
15990,Northern Beaches (A),56166,15884,3136,6519,1636,3779,2535,4000,5192,7142,3628,39389,12915,75538,15079,10555,10003,4707,4861,5691
16100,Oberon (A),3506,46,0,0,186,0,0,0,0,71,0,905,956,1047,1097,79,0,0,238,0
16150,Orange (C),7715,754,743,127,845,997,335,1093,666,479,643,2288,2520,4873,2543,398,1886,235,169,306
16200,Parkes (A),1193,0,0,70,0,0,0,135,0,0,0,475,489,914,461,356,357,69,25,80
16260,Parramatta (C),57025,8636,13868,13486,11835,4764,3916,1757,86366,63293,38123,18211,6489,17087,7844,2034,2007,1478,289,1350
16350,Penrith (C),21713,978,42,1378,752,1281,498,1071,1663,1522,3666,9060,3048,10220,2312,586,953,211,757,0
16380,Port Macquarie-Hastings (A),18845,1148,2429,2516,3087,1302,631,1043,332,6360,2166,18062,10362,46507,34885,8306,13795,5097,8827,11749
16400,Port Stephens (A),5809,1376,2080,3609,1260,0,0,620,8567,6656,835,10104,4796,19676,10825,4037,5645,1766,2184,4333
16490,Queanbeyan-Palerang Regional (A),3489,302,0,303,66,179,0,0,284,499,420,1103,465,1909,1341,295,494,358,30,186
16550,Randwick (C),33537,7200,12114,12875,14412,19812,2264,4350,5415,40529,3080,29197,7783,45534,7490,5786,12082,4471,2202,1381
16610,Richmond Valley (A),2068,0,0,0,0,0,218,0,0,479,125,851,1516,1265,1667,522,195,126,708,263
16650,Rockdale (C),15782,5171,4740,4874,3081,2346,490,2627,17658,19854,3117,6536,3192,7159,1288,1654,1533,1230,759,341
16700,Ryde (C),23230,5814,13377,10206,6534,6529,5267,1555,20659,56391,11735,15941,2827,12440,3437,1984,1849,1782,901,2165
16900,Shellharbour (C),1471,0,0,0,0,0,0,86,106,91,290,1491,858,2851,263,88,138,127,233,138
16950,Shoalhaven (C),11726,947,1851,800,1428,539,0,666,955,2753,843,12682,7311,21435,9362,4007,3933,957,2879,2704
17000,Singleton (A),3601,899,316,88,328,428,100,0,1298,2065,44,3338,893,2918,846,422,1009,382,767,575
17040,Snowy Monaro Regional (A),4635,1305,1375,2090,1088,1839,1416,1628,667,1887,1111,5850,3369,10192,7145,2740,2045,390,1175,1560
17080,Snowy Valleys (A),2441,0,899,186,79,206,0,421,0,900,0,1197,1890,1623,1023,914,560,188,65,89
17100,Strathfield (A),7362,1922,3665,2239,828,178,985,621,33883,11713,12574,2562,1304,2114,300,1187,462,486,364,169
