State,StateName,lga_code_2016,lga_name_2016,Hotel or similar (nights '000),Home of friend or relative (nights '000),Commercial camping/caravan park (nights '000),Backpacker (nights '000),Other (nights '000)
6,TAS,61610,Devonport (C),11.85325,33.72625,12.8455,20.78,61.361
6,TAS,61810,Dorset (M),,,,,
6,TAS,62410,Glamorgan/Spring Bay (M),26.0885,,11.24075,10.85025,31.05825
6,TAS,63010,Huon Valley (M),,,,,57.7585
6,TAS,63210,Kentish (M),24.7385,,9.29525,2.8745,21.779
6,TAS,63610,Kingborough (M),,,,,27.603
6,TAS,64010,Launceston (C),93.48275,141.7525,18.58475,51.6045,325.28575
6,TAS,64210,Meander Valley (M),,,,,
6,TAS,64610,Northern Midlands (M),,,,,
6,TAS,65210,Tasman (M),24.87125,,13.183,9.30025,28.3515
6,TAS,65410,Waratah/Wynyard (M),,,,,
6,TAS,65610,West Coast (M),16.65325,,5.91375,4.5295,13.4185
6,TAS,65810,West Tamar (M),,,,,
7,NT,70200,Alice Springs (T),161.8945,58.45375,41.98775,149.5705,246.07025
7,NT,70420,Barkly (R),4.854,,9.11425,,18.77925
7,NT,70700,Coomalie (S),5.063,,9.68575,,15.2655
7,NT,72200,Katherine (T),18.03625,,25.0195,16.013,64.99675
7,NT,72330,MacDonnell (R),199.9445,,53.1895,40.2295,106.7285
7,NT,73600,Roper Gulf (R),5.716,,15.13775,,41.436
7,NT,74550,Victoria Daly (R),,,5.95475,,17.1095
7,NT,74660,West Arnhem (R),24.24575,,26.89875,,43.23075
