State,StateName,lga_code_2016,lga_name_2016,Visitors_000,Nights_000,AvNightsStay,Spend_M,AvSpendTrip,AvSpendNight,AvSpendNight_AccomCM_M
4,SA,48050,Victor Harbor (C),992.25,0,,73.125994215,73.697147105,,
4,SA,48340,Wattle Range (DC),93,0,,7.6370746619,82.119082386,,
4,SA,48540,Whyalla (C),62.25,0,,13.343652969,214.35587098,,
4,SA,48750,Yankalilla (DC),199.5,0,,13.006600416,65.195992058,,
4,SA,48830,Yorke Peninsula (DC),145,0,,10.723773785,73.957060587,,
5,WA,50080,Albany (C),303.5,0,,57.053041003,187.98366064,,
5,WA,50250,Ashburton (S),,0,,,,,
5,WA,50280,Augusta-Margaret River (S),359.75,0,,50.563835401,140.55270438,,
5,WA,50980,Broome (S),,0,,,,,
5,WA,51190,Bunbury (C),1040,0,,124.68731653,119.89165051,,
5,WA,51260,Busselton (C),666,0,,63.684947097,95.623043689,,
5,WA,51540,Carnarvon (S),,0,,,,,
5,WA,52590,Dandaragan (S),114.25,0,,12.953848671,113.38160762,,
5,WA,52730,Denmark (S),133,0,,14.606997031,109.82704535,,
5,WA,52800,Derby-West Kimberley (S),,0,,,,,
5,WA,53080,Dundas (S),,0,,,,,
5,WA,53220,East Pilbara (S),,0,,,,,
5,WA,53290,Esperance (S),73.25,0,,4.9607344018,67.723336543,,
5,WA,53360,Exmouth (S),,0,,,,,
5,WA,53570,Gingin (S),380.5,0,,25.548208125,67.143779565,,
5,WA,53800,Greater Geraldton (C),203,0,,36.057445234,177.62288293,,
5,WA,53920,Halls Creek (S),,0,,,,,
5,WA,53990,Harvey (S),188.25,0,,21.714214887,115.34775505,,
5,WA,54060,Irwin (S),,0,,,,,
5,WA,54280,Kalgoorlie/Boulder (C),111,0,,24.266113644,218.61363643,,
5,WA,54310,Karratha (C),131,0,,14.027773543,107.08224079,,
5,WA,54620,Kondinin (S),,0,,,,,
5,WA,55110,Mandurah (C),1850.75,0,,147.84369264,79.883124487,,
5,WA,55180,Manjimup (S),142.25,0,,15.696552079,110.34483008,,
5,WA,56230,Murray (S),295.25,0,,24.599436809,83.317313495,,
5,WA,56790,Northampton (S),,0,,,,,
5,WA,57280,Port Hedland (T),,0,,,,,
5,WA,57770,Shark Bay (S),,0,,,,,
5,WA,59340,Wyndham-East Kimberley (S),,0,,,,,
6,TAS,60210,Break O'Day (M),74.25,0,,6.5737269205,88.535042701,,
6,TAS,60610,Burnie (C),260,0,,30.778061239,118.37715861,,
6,TAS,60810,Central Coast (M) (Tas.),143.25,0,,11.669619839,81.46331476,,
6,TAS,61010,Central Highlands (M) (Tas.),84.5,0,,5.6656654765,67.04929558,,
6,TAS,61210,Circular Head (M),155,0,,10.782441123,69.564136278,,
6,TAS,61610,Devonport (C),298,0,,30.643549761,102.8307039,,
6,TAS,61810,Dorset (M),150.25,0,,11.352416591,75.556849189,,
6,TAS,62410,Glamorgan/Spring Bay (M),224.25,0,,16.624217785,74.132520779,,
6,TAS,63010,Huon Valley (M),311.75,0,,24.188847812,77.590530272,,
6,TAS,63210,Kentish (M),117,0,,7.5853890434,64.832384987,,
6,TAS,63610,Kingborough (M),208.25,0,,20.445558489,98.177951929,,
6,TAS,64010,Launceston (C),1139.5,0,,172.82292073,151.66557326,,
6,TAS,64210,Meander Valley (M),177.75,0,,16.458086246,92.591202511,,
6,TAS,64610,Northern Midlands (M),186,0,,21.037484261,113.10475409,,
6,TAS,65210,Tasman (M),141.25,0,,9.8890196438,70.01075854,,
6,TAS,65410,Waratah/Wynyard (M),67,0,,6.0755884058,90.680423967,,
6,TAS,65610,West Coast (M),22,0,,2.6746615429,121.57552468,,
6,TAS,65810,West Tamar (M),126,0,,8.2333291845,65.343882417,,
7,NT,70200,Alice Springs (T),55.75,0,,16.18191293,290.25852788,,
7,NT,70420,Barkly (R),,0,,,,,
7,NT,70700,Coomalie (S),213,0,,16.142056602,75.784303294,,
7,NT,72200,Katherine (T),69,0,,10.9415388,158.57302609,,
7,NT,72330,MacDonnell (R),111.75,0,,5.7090952184,51.088100388,,
7,NT,73600,Roper Gulf (R),,0,,,,,
7,NT,74550,Victoria Daly (R),35.75,0,,4.2766386403,119.62625567,,
7,NT,74660,West Arnhem (R),80.5,0,,9.0436929473,112.34401177,,
