State,StateName,lga_code_2016,lga_name_2016,Holiday (visitors '000),Visiting friends or relatives (visitors '000),Business (visitors '000),Other (visitors '000)
2,VIC,21830,Corangamite (S),66,43.75,,
2,VIC,22110,East Gippsland (S),397,132.5,57.25,
2,VIC,22170,Frankston (C),,79,,
2,VIC,22410,Glenelg (S),72.75,51.5,,
2,VIC,22620,Greater Bendigo (C),226,290.5,96.25,40.25
2,VIC,22750,Greater Geelong (C),386,451,75.75,45
2,VIC,22830,Greater Shepparton (C),70.5,124.5,41.25,
2,VIC,22910,Hepburn (S),227,57,,
2,VIC,23190,Horsham (RC),53.75,54.75,30.5,
2,VIC,23350,Indigo (S),101.5,63,,
2,VIC,23810,Latrobe (C) (Vic.),37,101.5,40.75,
2,VIC,24130,Macedon Ranges (S),59,94.75,,
2,VIC,24250,Mansfield (S),209.5,50.75,,
2,VIC,24780,Mildura (RC),199,100.5,97.25,27.25
2,VIC,24850,Mitchell (S),28.25,64.5,22.25,
2,VIC,24900,Moira (S),164.5,74.75,,
2,VIC,25340,Mornington Peninsula (S),770.25,331.25,63.5,
2,VIC,25430,Mount Alexander (S),64.5,77.25,,
2,VIC,25490,Moyne (S),113.5,44.5,,
2,VIC,25620,Murrindindi (S),153.5,51.25,,
2,VIC,25710,Nillumbik (S),,50,,
2,VIC,25810,Northern Grampians (S),153,46.75,,
2,VIC,26080,Queenscliffe (B),126,20.75,,
2,VIC,26170,South Gippsland (S),219.75,82.25,,
2,VIC,26260,Southern Grampians (S),59,42.75,,
2,VIC,26430,Strathbogie (S),54.75,52.25,,
2,VIC,26490,Surf Coast (S),552.25,168.75,37.75,
2,VIC,26610,Swan Hill (RC),97.25,54.25,39,
2,VIC,26700,Wangaratta (RC),78.75,108.75,26.5,
2,VIC,26730,Warrnambool (C),140,101.25,59.25,
2,VIC,26810,Wellington (S),167.25,102,40.5,
2,VIC,27170,Wodonga (C),40,76.75,,
2,VIC,27450,Yarra Ranges (S),148.75,165,33.75,
3,QLD,30370,Banana (S),26.5,44,45.25,
3,QLD,31820,Bundaberg (R),152.25,178.25,88.5,
3,QLD,31900,Burdekin (S),,30.25,,
3,QLD,32080,Cairns (R),505.5,229.75,222,43
3,QLD,32260,Cassowary Coast (R),108.75,44.5,,
3,QLD,32270,Central Highlands (R) (Qld),77.25,52,140,
3,QLD,32310,Charters Towers (R),51,,41.25,
3,QLD,32500,Cook (S),60,,,
3,QLD,32810,Douglas (S),245.75,35.25,,
3,QLD,33220,Fraser Coast (R),287.5,209,54.25,
3,QLD,33360,Gladstone (R),182.75,112.25,110.5,
3,QLD,33430,Gold Coast (C),1853,966.5,345.75,102.25
3,QLD,33610,Goondiwindi (R),51.5,43.25,40.5,
3,QLD,33620,Gympie (R),239.75,96.25,37.25,
3,QLD,33800,Hinchinbrook (S),30,,,
3,QLD,33960,Ipswich (C),55.25,175.75,37,
3,QLD,33980,Isaac (R),37.25,27,241,
3,QLD,34530,Livingstone (S),86.25,67.25,,
3,QLD,34590,Logan (C),30.25,204,,
3,QLD,34770,Mackay (R),137.25,159.75,127.75,
3,QLD,34860,Maranoa (R),59,45,114.5,
3,QLD,34880,Mareeba (S),49.75,,,
3,QLD,35300,Mount Isa (C),33.75,,56.25,
3,QLD,35740,Noosa (S),522.5,188.5,35,
3,QLD,36370,Rockhampton (R),107.25,179,137.5,53
3,QLD,36510,Scenic Rim (R),144.5,71.25,,
3,QLD,36580,Somerset (R),64,54.75,,
3,QLD,36630,South Burnett (R),51.25,66.25,30,
3,QLD,36660,Southern Downs (R),162.75,107.5,41.25,
3,QLD,36720,Sunshine Coast (R),1090.5,717,128.25,91
3,QLD,36820,Tablelands (R),79.5,30.75,,
3,QLD,36910,Toowoomba (R),177,388.75,147.5,70.25
3,QLD,37010,Townsville (C),266.75,293.25,213.75,93.25
3,QLD,37310,Western Downs (R),76.75,96.75,131.5,
3,QLD,37340,Whitsunday (R),304.5,97,56,
4,SA,40120,Adelaide Hills (DC),19.5,32.75,,
4,SA,40220,Alexandrina (DC),139.25,70,,
4,SA,40310,Barossa (DC),86.25,52.75,,
4,SA,40520,Berri and Barmera (DC),58.75,18.75,,
4,SA,41010,Ceduna (DC),25.75,,,
4,SA,41140,Clare and Gilbert Valleys (DC),52.25,32.25,,
4,SA,41330,Coober Pedy (DC),50,,,
4,SA,41560,Copper Coast (DC),119.75,46.5,,
4,SA,41830,Flinders Ranges (DC),49.75,,,
4,SA,42750,Kangaroo Island (DC),80.75,,,
4,SA,43790,Loxton Waikerie (DC),32.5,30.75,,
4,SA,44210,Mid Murray (DC),153.25,23.75,,
4,SA,44550,Mount Barker (DC),38.5,43,,
4,SA,44620,Mount Gambier (C),65,65,45.5,
4,SA,45040,Murray Bridge (RC),45.75,37.75,,
4,SA,46090,Port Augusta (C),59.75,25.5,28,
4,SA,46300,Port Lincoln (C),46.75,34.25,37.25,
4,SA,46450,Port Pirie City and Dists (M),20.75,36.75,,
4,SA,46670,Renmark Paringa (DC),55.75,18.25,,
4,SA,46860,Robe (DC),72,,,
4,SA,48050,Victor Harbor (C),137.5,66,,
4,SA,48340,Wattle Range (DC),35,26,,
4,SA,48540,Whyalla (C),15.5,31.5,31.25,
4,SA,48750,Yankalilla (DC),90.25,23.25,,
4,SA,48830,Yorke Peninsula (DC),190,44,,
5,WA,50080,Albany (C),195.75,107.25,48,
5,WA,50250,Ashburton (S),24,,193,
5,WA,50280,Augusta-Margaret River (S),427,72.75,,
5,WA,50980,Broome (S),135.5,27.5,40,
5,WA,51190,Bunbury (C),118,152.25,74.75,
5,WA,51260,Busselton (C),554.5,187.25,45.5,
5,WA,51540,Carnarvon (S),91.25,,,
5,WA,52590,Dandaragan (S),106.5,27.25,,
5,WA,52730,Denmark (S),86.75,29.5,,
5,WA,52800,Derby-West Kimberley (S),33.75,,34.5,
5,WA,53080,Dundas (S),23.5,,,
5,WA,53220,East Pilbara (S),,,229.25,
5,WA,53290,Esperance (S),112.75,39.25,34.25,
5,WA,53360,Exmouth (S),66.5,,,
5,WA,53570,Gingin (S),122.75,29.5,,
5,WA,53800,Greater Geraldton (C),85.25,75.25,85.25,
5,WA,53920,Halls Creek (S),23.5,,,
5,WA,53990,Harvey (S),43.75,36.75,,
5,WA,54060,Irwin (S),45,,,
5,WA,54280,Kalgoorlie/Boulder (C),50.25,41,89.5,
5,WA,54310,Karratha (C),20.5,,145.5,
5,WA,54620,Kondinin (S),,,,
5,WA,55110,Mandurah (C),176.25,176.75,,
5,WA,55180,Manjimup (S),139.5,39,,
5,WA,56230,Murray (S),67,22.5,,
5,WA,56790,Northampton (S),99,,,
5,WA,57280,Port Hedland (T),,,98,
5,WA,57770,Shark Bay (S),62.5,,,
5,WA,59340,Wyndham-East Kimberley (S),43,,27.75,
6,TAS,60210,Break O'Day (M),113.25,18.75,,
6,TAS,60610,Burnie (C),30,23,17,
6,TAS,60810,Central Coast (M) (Tas.),19.5,24.25,,
6,TAS,61010,Central Highlands (M) (Tas.),47,,,
6,TAS,61210,Circular Head (M),52,,,
6,TAS,61610,Devonport (C),65,35.5,30,
6,TAS,61810,Dorset (M),48.75,,,
6,TAS,62410,Glamorgan/Spring Bay (M),218.75,18.75,,
6,TAS,63010,Huon Valley (M),46.25,20,,
6,TAS,63210,Kentish (M),111.25,,,
6,TAS,63610,Kingborough (M),57.25,30,,
6,TAS,64010,Launceston (C),242.5,135.25,101.25,26.5
6,TAS,64210,Meander Valley (M),30.75,19.75,,
6,TAS,64610,Northern Midlands (M),26,,,
6,TAS,65210,Tasman (M),77.75,13.5,,
6,TAS,65410,Waratah/Wynyard (M),22,12.5,,
6,TAS,65610,West Coast (M),112.5,,16.75,
6,TAS,65810,West Tamar (M),19.75,14.25,,
7,NT,70200,Alice Springs (T),124.25,23.25,78,
7,NT,70420,Barkly (R),37,,24,
7,NT,70700,Coomalie (S),27.5,,,
7,NT,72200,Katherine (T),51.25,26.25,32.25,
7,NT,72330,MacDonnell (R),136.5,,26,
7,NT,73600,Roper Gulf (R),38.75,,23.25,
7,NT,74550,Victoria Daly (R),32.25,,,
7,NT,74660,West Arnhem (R),74,,32.5,
