lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
16610,Richmond Valley (A),8668,0,0,0,0,0,4927,0,0,733,3128,4976,8088,27319,36007,1203,195,2402,1181,1488
16650,Rockdale (C),81982,318980,213204,61664,27146,63824,8353,100791,81146,1344855,189098,76976,72924,151392,8471,32622,53671,78530,8697,3587
16700,Ryde (C),228007,122608,579293,147580,182624,291812,231556,118215,971457,4432969,786785,448399,89305,261441,44635,53349,62068,112913,20184,34430
16900,Shellharbour (C),18153,0,0,0,0,0,0,11640,25373,2721,971,48063,74449,43914,788,3250,138,887,930,5110
16950,Shoalhaven (C),100198,13733,6570,6549,4402,11734,0,2935,36912,29545,10023,118425,66220,152697,41880,11702,12268,34796,11661,7355
17000,Singleton (A),18348,5868,702,4425,328,428,21239,0,17041,74347,176,21914,5741,67267,16338,12776,34169,1227,6355,8538
17040,Snowy Monaro Regional (A),21665,42638,3392,6597,2624,7462,79691,4235,4140,4692,3363,48431,52295,134764,119290,19983,32358,12890,20531,56033
17080,Snowy Valleys (A),48864,0,81894,932,142,1030,0,114594,0,7013,0,5795,13780,46638,2856,3228,9927,13232,131,89
17100,Strathfield (A),110440,76596,208965,18864,5661,22978,91057,44792,2247579,793981,1161730,26589,28613,29730,1304,11682,7809,33757,3719,2886
17150,Sutherland Shire (A),166201,19143,48000,13686,7980,3055,32591,86611,20475,178408,175872,311857,153777,320938,76011,24615,59594,37421,21706,5112
17200,Sydney (C),5297057,6054153,3445282,3020659,2066407,2903192,4243222,2981760,7567877,18739282,3547463,7523273,2133971,13633641,5015869,2529918,4704054,3620988,900999,800826
17310,Tamworth Regional (A),78632,1574,76311,28316,900,13106,100286,3393,289266,55351,61783,99116,3170,66491,32903,16090,16559,21117,5837,12250
17350,Temora (A),1791,0,0,0,2952,0,0,0,0,0,0,1558,4481,23341,1842,0,0,0,0,0
17400,Tenterfield (A),4426,5409,1441,0,0,0,20805,572,0,0,0,2123,1935,5167,13192,8186,196,12246,1987,282
17420,The Hills Shire (A),267093,83900,56980,42462,34032,92298,21254,34069,214818,522010,561591,362309,38534,198755,78280,26806,13791,29948,16557,18481
17550,Tweed (A),261345,43625,26428,9367,9224,1270,0,13620,0,14133,8195,72128,46554,192982,61531,19688,8233,30379,6820,2265
17620,Upper Hunter Shire (A),28150,0,1819,0,331,6255,102909,0,33111,9861,123,11080,2818,52092,6954,3065,0,357,2600,0
17640,Upper Lachlan Shire (A),147026,6417,0,530,63,0,0,0,0,0,0,853,819,18251,472,70,2001,0,20,0
17650,Uralla (A),4099,0,730,0,7514,1050,66,0,6728,35781,0,5248,0,7604,1217,0,10465,0,0,0
17750,Wagga Wagga (C),65281,2255,2388,12584,61998,45880,54043,7831,39099,107052,86999,62533,20884,82549,5836,10369,59797,8050,4899,1238
17850,Walcha (A),1446,495,0,392,0,0,0,0,127,2924,0,1816,0,38847,36504,0,18282,421,227,455
17900,Walgett (A),6099,0,0,176,0,0,0,4253,444,0,0,115477,14924,56851,2090,5659,180,0,247,26
17950,Warren (A),0,0,0,0,0,47,0,0,0,0,0,145,8824,4460,898,18711,6308,0,0,0
18020,Warrumbungle Shire (A),4517,0,1257,0,0,0,248,0,0,772,4625,10016,1905,7339,9098,984,6198,0,2363,4312
18050,Waverley (A),164494,375776,203025,39434,11237,25612,38197,19230,74230,174422,6825,466248,415353,1744769,228125,445741,495265,331601,186094,108552
18100,Weddin (A),0,0,0,0,0,0,0,0,0,0,0,1641,0,15640,4230,0,0,3902,0,221
18200,Wentworth (A),4654,0,45967,1511,817,0,0,0,16726,2212,11000,1202,2795,30843,3195,9740,622,0,0,287
18230,Western Plains Regional (A),51143,211,51778,11239,11064,4438,70611,27877,43436,43783,10504,9973,7630,127527,46840,4149,10930,1946,9914,575
18250,Willoughby (C),138207,543150,421951,195876,144691,102765,131747,63104,1516134,2265687,419044,132844,28980,209234,35848,18504,86713,6384,6861,16976
18350,Wingecarribee (A),60502,89,43736,12268,9345,6644,0,160,9807,23786,42477,44925,16072,126690,70252,5373,382,0,2002,366
18400,Wollondilly (A),33233,3651,9341,173,0,2824,0,0,3786,2335,0,13873,39709,43836,14818,7451,5554,0,53,829
18450,Wollongong (C),128977,409691,100036,78083,161232,88276,141242,221822,184578,1803720,319331,478974,100491,273746,118351,104858,178313,79126,34963,13273
18500,Woollahra (A),136714,78092,25404,26710,9918,27065,4712,13795,2837,155601,31942,179812,32779,802597,92886,107588,276280,68758,23863,34009
18710,Yass Valley (A),4667,0,2922,0,0,13434,0,88,0,0,2855,10307,2952,43170,24028,1660,9323,11564,437,114
19399,Unincorporated NSW,109542,6541,7850,6693,8729,2506,262,42245,13955,14337,3246,103599,16066,143924,16409,62104,33657,20138,7864,3303
20110,Alpine (S),23046,667,277,1299,1372,1827,217,168,3537,4310,8175,9595,1944,30613,19072,2138,4575,0,3859,7158
20260,Ararat (RC),38314,0,0,0,0,0,99340,0,0,0,168,280,5474,5796,2679,14976,705,3553,86,348
20570,Ballarat (C),80782,15592,5331,31889,28978,8462,1039,10657,25454,116643,199495,58316,31579,139399,13499,140700,22854,13515,10568,2455
20660,Banyule (C),106556,62037,72054,149652,352370,28037,59446,121804,21503,1511001,346152,259162,116277,264912,19822,75573,114426,22008,5881,19714
20740,Bass Coast (S),51742,1986,4772,22351,39190,6769,1170,5880,520,24505,8572,27693,21322,91758,54184,8402,77170,9392,11979,9317
20830,Baw Baw (S),28296,10142,67416,2184,256,859,9242,4312,116170,19634,29170,5819,1623,54285,16232,7493,32951,6556,4787,1116
20910,Bayside (C),89079,100621,15391,6991,27230,55260,7538,34297,1355,507975,90298,62493,10818,273025,73020,26135,104619,6731,29612,1537
21010,Benalla (RC),21781,0,0,0,3610,0,0,0,93,50363,1476,4465,464,43505,613,449,902,0,270,27
21110,Boroondara (C),245004,121657,137492,175494,437817,147055,70007,264397,272374,2306655,493864,210059,48797,344625,165807,25003,34197,199393,5670,39624
21180,Brimbank (C),133609,10782,99148,22736,32971,21385,78577,51187,46416,110746,452894,115553,37860,58580,233915,1522,5588,4888,8945,2492
21270,Buloke (S),1732,0,0,0,0,0,243,0,0,748,0,219,0,0,429,0,1678,28,134,95
21370,Campaspe (S),66483,3454,5001,1160,20157,5421,33343,1727,32185,11554,475,9566,16766,75798,5544,5218,58619,14718,52605,15385
21450,Cardinia (S),63716,15630,84659,3786,9657,298,32945,51576,19653,6061,257799,66595,47820,126845,20165,5485,18243,875,8422,14224
21610,Casey (C),310793,2910,106697,40354,108386,12775,40008,79911,5093,255788,673661,112526,6240,273958,18029,5447,39722,33258,67323,1768
21670,Central Goldfields (S),3964,0,3417,1988,524,0,0,0,935,1695,4181,14454,87,10945,3020,0,367,0,978,4473
21750,Colac-Otway (S),30716,1414,3081,18442,15895,1023,36780,3048,764,36097,4062,44311,13032,127589,68911,12839,26165,14953,18877,15569
21830,Corangamite (S),19685,2642,3703,11116,5659,0,500,1830,9295,30397,4534,14354,13542,35980,27224,3149,13426,4674,6793,6568
21890,Darebin (C),157796,88712,69747,49207,101830,31493,151403,147228,91378,865410,836719,288701,164799,278712,151190,29050,56533,107897,50279,21764
22110,East Gippsland (S),45313,3423,5022,5440,5298,2171,2383,382,7735,109846,12563,31302,28614,96729,45990,6319,19984,2340,31413,15095
22170,Frankston (C),152765,14649,63082,3362,48975,41163,942,88507,12889,88862,65368,67722,23793,486058,110350,9150,13556,39516,7843,0
22250,Gannawarra (S),0,820,0,0,0,0,0,0,0,0,0,3419,1222,2969,109,132,0,0,106,49
22310,Glen Eira (C),340046,85264,189104,115933,220040,180166,46949,133618,121964,1658026,514075,155331,56280,300677,47265,21231,68445,107164,3941,27174
22410,Glenelg (S),14804,7008,852,2060,1826,2061,0,259,0,2427,26257,9641,12680,12606,9946,1747,53660,2339,2935,3145
22490,Golden Plains (S),8839,0,0,379,931,0,0,0,0,0,0,1626,0,1217,0,0,0,0,6545,0
22620,Greater Bendigo (C),75768,13494,411,435,12667,512,11212,13060,2244,64602,42782,68272,4496,98989,18777,12626,39881,10363,10256,1039
22670,Greater Dandenong (C),348156,82682,94023,32463,326807,75819,92435,98504,18617,505081,648841,64528,36875,54671,15987,5947,33847,7232,11833,86
22750,Greater Geelong (C),133792,18557,45250,25740,221130,40344,84021,42831,1469,400428,335255,99117,69805,310862,65856,30923,75969,20065,90503,17835
22830,Greater Shepparton (C),142819,17504,137167,2696,80828,15508,237124,945,56493,13694,3946,32227,8558,78121,64813,17825,129926,75884,1231,997
22910,Hepburn (S),6625,7083,2907,4246,4550,940,0,75,0,5776,899,16158,1257,19539,1886,0,14194,2674,5135,1759
22980,Hindmarsh (S),4788,5305,0,0,476,0,0,0,0,681,0,3569,0,16013,208,14945,0,0,141,560
23110,Hobsons Bay (C),177643,34211,23176,18893,19043,41035,10149,37973,3134,223518,322408,97223,40094,202422,55914,68677,34329,33462,31205,10091
23190,Horsham (RC),14562,0,0,0,50,96,0,0,0,8371,1362,51376,16585,19297,5402,5299,1010,0,745,6203
23270,Hume (C),304956,26337,9133,132147,73722,11004,5096,12366,2334,239147,589409,71004,15451,91041,28216,12569,43920,3373,13352,3603
23350,Indigo (S),20423,0,407,415,246,0,301,5129,0,0,0,8259,1940,14235,2780,3506,3305,0,142,2223
23430,Kingston (C) (Vic.),204449,41983,86160,74405,35657,38577,34934,26782,42135,459190,373363,63819,22127,322082,67939,22772,28093,77693,16772,11126
23670,Knox (C),118047,12326,122286,63558,148115,20164,5540,33147,30368,258052,121474,54089,8417,439109,47204,22118,53942,17670,4838,4163
23810,Latrobe (C) (Vic.),83255,5382,15726,6823,13183,0,0,29546,2459,8417,12893,7800,904,64147,18584,0,3686,9172,6145,0
23940,Loddon (S),0,0,0,0,0,0,0,0,0,204,0,0,0,4044,14335,0,19187,0,59,0
24130,Macedon Ranges (S),63861,3042,169,1852,10315,0,0,3073,5631,3648,1048,14332,5098,94013,9653,219,7212,0,459,2523
24210,Manningham (C),59120,5685,151767,105633,293932,9449,100505,34782,37893,1218864,120365,60114,68676,97765,29636,46918,14675,34674,379,991
24250,Mansfield (S),3048,14897,0,8992,2047,270,14582,1688,7066,739,331,2861,732,12540,444,2707,2197,10360,9621,0
24330,Maribyrnong (C),220946,18682,67817,54344,96017,31262,30139,99262,52363,1323655,235197,131966,60362,290485,44655,7847,68402,69768,22785,1948
24410,Maroondah (C),55938,1636,10284,19404,26554,11139,54923,59600,706,209549,90425,39887,11313,181781,23967,0,20675,3302,4850,2224
24600,Melbourne (C),3875069,3321333,2835426,3359620,4759968,2470083,3425417,1346088,3375041,20005127,4382211,3997870,1373505,6530553,2747756,1044166,2316596,1980361,467522,350538
24650,Melton (C),277826,6220,6759,1686,22113,16524,33671,6034,10541,98481,410278,30002,25238,51527,1947,9703,117,28273,1034,139
24780,Mildura (RC),145435,94451,295165,2901,165027,8053,403655,3633,53259,49548,8487,40916,15464,327445,137603,43702,98216,171469,5214,2386
24850,Mitchell (S),16076,34356,0,2162,10059,0,1403,250,11064,53124,5535,44415,173,42683,1931,3507,4063,0,55,67
24900,Moira (S),20145,4108,1384,412,10242,2036,26886,5387,983,569,0,70995,8359,64312,0,23901,22674,0,1871,0
24970,Monash (C),239769,133748,820208,675315,934024,511061,228708,151816,267679,5228118,947044,139307,107380,264354,77451,41658,98553,136391,15751,5698
25060,Moonee Valley (C),197275,20987,53899,33899,224880,24507,6074,27590,108264,739259,457376,60116,33898,54590,43195,5250,11536,76483,14515,5839
25150,Moorabool (S),11762,0,0,1645,1801,0,0,0,0,0,0,1097,9322,35982,0,0,228,37631,92,0
25250,Moreland (C),298146,157946,42130,112035,252784,197932,67743,122669,53293,954633,499999,265550,77968,478676,180849,87461,130567,312205,19810,4430
25340,Mornington Peninsula (S),116255,11502,28237,19331,27704,52301,2112,25025,4638,46081,7069,92572,24003,374758,109749,22228,49479,99945,38356,8704
25430,Mount Alexander (S),27103,0,0,328,0,482,4558,231,0,405,9905,5260,203,61442,121,4860,3692,283,0,567
25490,Moyne (S),17280,1973,193,5696,12831,71,16230,259,633,14951,3381,7010,58783,33131,26207,10142,8646,1282,5201,6202
25620,Murrindindi (S),22873,4905,6941,17922,3805,925,4354,451,16989,10538,168,19950,13612,20775,4413,3287,8187,2124,1171,1161
25710,Nillumbik (S),32782,0,6753,107,1062,25638,12014,7466,0,15743,0,32093,125,181874,5222,36601,6485,5465,6016,13642
25810,Northern Grampians (S),10249,2471,246,9437,3885,650,984,1878,499,3874,1629,36552,8066,41938,54808,9932,15516,2003,14702,12360
25900,Port Phillip (C),432462,200003,87776,123078,124814,172369,45338,52006,62281,416480,344210,498482,119750,1836400,356570,274099,360070,376502,63008,62493
25990,Pyrenees (S),717,0,0,0,0,0,0,0,29997,881,0,1046,61,41419,2385,775,1286,0,304,0
26080,Queenscliffe (B),3424,5255,0,0,2412,0,0,0,0,1456,332,8470,8214,6560,2703,680,306,0,125,0
26170,South Gippsland (S),12674,332,388,4605,4169,203,175,4080,9411,181320,1147,29322,16991,59921,77716,2817,14012,2549,23334,9614
26260,Southern Grampians (S),42423,0,713,216,0,0,602,0,1616,4333,5643,3143,989,6893,2335,23652,3557,446,3878,10072
26350,Stonnington (C),404558,170131,83279,122692,248761,244039,144505,229804,122567,1371962,316921,399998,59861,974768,206936,68648,220095,278768,40979,5407
26430,Strathbogie (S),18857,0,0,1872,0,0,1472,305,0,602,0,10719,2121,24480,7326,1734,0,2636,177,0
26490,Surf Coast (S),54747,605,1501,7325,6789,837,0,1285,1945,19661,29165,120806,15252,102903,21903,9179,26151,16031,7127,11346
26610,Swan Hill (RC),4086,3339,45865,0,63467,2647,152536,5885,107,168,94,14657,2006,31448,23255,41350,36481,12079,239,5795
26670,Towong (S),2212,0,0,208,0,0,0,0,0,0,0,856,97,14922,6931,1007,551,120,351,0
26700,Wangaratta (RC),9538,33026,2968,2196,49521,3496,45960,5204,827,68213,4141,34052,3132,20033,8329,4996,9964,10709,378,186
26730,Warrnambool (C),51343,86184,91589,6791,2700,1921,123977,933,312910,25613,15531,35419,19205,27431,30909,5939,7267,2750,5970,7063
26810,Wellington (S),17368,3663,46402,3847,67983,158,65015,1624,2044,14301,498,34989,32544,56042,43290,7500,4784,1704,12133,17215
26890,West Wimmera (S),2785,332,0,0,0,0,0,0,0,0,0,84,0,18376,6964,0,0,0,213,287
26980,Whitehorse (C),132331,94085,609030,187769,776756,301179,520164,121768,99007,5095617,526790,230096,56048,247256,81802,41455,18310,50374,29498,28193
27070,Whittlesea (C),80533,0,11600,183832,98917,24868,6306,27937,34749,363418,698730,50932,16438,84951,17846,7172,3351,9093,31,3188
27170,Wodonga (C),26150,0,407,0,194,130,27513,0,0,6293,0,1525,4266,37127,6548,941,226,194,296,68
27260,Wyndham (C),563082,10311,55775,115366,183047,99863,98220,95214,62371,775795,1877048,96272,28547,308310,38223,4621,86440,44432,5123,1053
27350,Yarra (C),556636,52668,54511,49210,96129,40335,54699,16360,31903,111407,50257,296039,81013,670232,168681,100586,330717,241325,38152,6430
