State,StateName,lga_code_2016,lga_name_2016,Non-employing,1 to 4 employees,5 to 19 employees,20 or more employees,Total
3,QLD,32270,Central Highlands (R) (Qld),92,74,69,17,249
3,QLD,32310,Charters Towers (R),61,36,40,4,144
3,QLD,32500,Cook (S),22,22,18,0,65
3,QLD,32810,Douglas (S),114,107,75,18,320
3,QLD,33220,Fraser Coast (R),319,305,206,37,861
3,QLD,33360,Gladstone (R),160,151,148,32,493
3,QLD,33430,Gold Coast (C),3910,2523,1503,436,8372
3,QLD,33610,Goondiwindi (R),46,43,39,10,138
3,QLD,33620,Gympie (R),195,165,111,26,499
3,QLD,33800,Hinchinbrook (S),33,43,33,3,112
3,QLD,33960,Ipswich (C),536,332,205,55,1131
3,QLD,33980,Isaac (R),52,37,41,16,151
3,QLD,34530,Livingstone (S),129,89,67,18,300
3,QLD,34590,Logan (C),1137,753,397,88,2385
3,QLD,34770,Mackay (R),372,272,246,69,962
3,QLD,34860,Maranoa (R),79,47,50,10,190
3,QLD,34880,Mareeba (S),115,88,49,7,259
3,QLD,35300,Mount Isa (C),69,57,46,18,192
3,QLD,35740,Noosa (S),421,352,219,61,1048
3,QLD,36370,Rockhampton (R),302,197,177,64,740
3,QLD,36510,Scenic Rim (R),244,146,90,21,496
3,QLD,36580,Somerset (R),99,57,32,3,199
3,QLD,36630,South Burnett (R),139,95,81,16,330
3,QLD,36660,Southern Downs (R),162,150,98,14,425
3,QLD,36720,Sunshine Coast (R),1593,1285,841,176,3896
3,QLD,36820,Tablelands (R),118,88,72,12,298
3,QLD,36910,Toowoomba (R),679,453,378,97,1612
3,QLD,37010,Townsville (C),622,454,401,125,1598
3,QLD,37310,Western Downs (R),133,106,94,19,354
3,QLD,37340,Whitsunday (R),233,173,143,43,590
4,SA,40120,Adelaide Hills (DC),191,127,81,12,409
4,SA,40220,Alexandrina (DC),134,80,59,5,269
4,SA,40310,Barossa (DC),112,65,53,18,243
4,SA,40520,Berri and Barmera (DC),34,35,27,7,102
4,SA,41010,Ceduna (DC),24,12,21,4,51
4,SA,41140,Clare and Gilbert Valleys (DC),56,51,31,3,140
4,SA,41330,Coober Pedy (DC),7,12,8,3,36
4,SA,41560,Copper Coast (DC),44,59,49,3,152
4,SA,41830,Flinders Ranges (DC),10,16,10,3,32
4,SA,42750,Kangaroo Island (DC),58,23,35,0,117
4,SA,43790,Loxton Waikerie (DC),46,38,28,5,114
4,SA,44210,Mid Murray (DC),31,31,18,4,85
