X,Y,id,ENO,NAME,SYNONYMS,STATE,LONGITUDE,LATITUDE,ACCURACY,SIGNIFICANT,SIGNIFICANCE_VALUE,SIGNIFICANCE_CALC_METHOD,ACCESS_CODE,COMMODIDS,COMMODNAMES,OPERATING_STATUS
140.3262,-21.4026,mineral_deposits.3327,"334201",Horse Creek,,QLD,140.3261891991,-21.402551476,"100",N,"6",AUTO,O,Cu,Copper,historic mine
122.2411,-28.61,mineral_deposits.3461,"334466",South Windarra,,WA,122.2411190425,-28.6099520233,"100",N,"4",AUTO,O,Ni,Nickel,historic mine
141.9355,-29.7865,mineral_deposits.3462,"334346",Tibooburra-Milparinka,Milparinka,NSW,141.9355229161,-29.7864989904,"250",N,"6",AUTO,O,Au,Gold,historic mine
131.7905,-13.714,mineral_deposits.3463,"334726",Union Reefs,Union Reefs Project,NT,131.7905,-13.714,"999",N,"5",AUTO,O,"Au, Ag","Gold, Silver",operating mine
133.933,-19.4751,mineral_deposits.3464,"335010",White Devil,Eldorado,NT,133.9330114938,-19.4751103479,"2000",N,"5",AUTO,O,Au,Gold,historic mine
147.27,-21.1169,mineral_deposits.3465,"333490",Wirralie,,QLD,147.2699898653,-21.1169278338,"2000",N,"4",AUTO,O,"Au, Ag","Gold, Silver",historic mine
145.326,-41.872,mineral_deposits.3466,"335560",Zeehan Mineral Field,"Zeehan Slag Dumps, Oceana, Spray, Oonah, Montana (Sn), Queen Hill (Sn), Severn",TAS,145.3260089776,-41.8720272703,"2000",N,"4",AUTO,O,"Zn, In, Pb, (Ag, Cu, Sn, Sb)","Zinc, Indium, Lead, (Silver, Copper, Tin, Antimony)",historic mine
143.6028,-18.6044,mineral_deposits.3467,"334377",Havelock,,QLD,143.6028098736,-18.6043960708,"250",N,"6",AUTO,O,"Cu, Au, Ag","Copper, Gold, Silver",historic mine
140.7028,-20.4398,mineral_deposits.3468,"334994",Ernest Henry,Mt Fort Constantine,QLD,140.7028101744,-20.4398290685,"2000",Y,"2",AUTO,O,"Cu, Au, (Mag, FeOre, Fe)","Copper, Gold, (Magnetite, Iron ore, Iron)",operating mine
134.22,-19.6671,mineral_deposits.3469,"336129",Argo,"Tennant Creek, Explorer 46",NT,134.2200101787,-19.6671082417,"2000",N,"6",AUTO,O,"Au, Cu, Bi","Gold, Copper, Bismuth",historic mine
147.917,-41.437,mineral_deposits.3470,"333979",New Golden King,New Golden Gate,TAS,147.9170328754,-41.437034118,"100",N,"6",AUTO,O,Au,Gold,historic mine
151.83,-25.6168,mineral_deposits.3471,"335846",Coalstoun,,QLD,151.8299834263,-25.6168360505,"2000",Y,"3",AUTO,O,Cu,Copper,mineral deposit
150.63,-23.6869,mineral_deposits.3472,"335564",Limonite Hill,Bajool,QLD,150.6299826543,-23.6868573107,"2000",N,"6",AUTO,O,Cu,Copper,mineral deposit
139.3889,-19.474,mineral_deposits.3473,"335937",Mount Oxide,Mt Oxide,QLD,139.388881653,-19.473985174,"100",N,"4",AUTO,O,"Cu, Co, (Ag)","Copper, Cobalt, (Silver)",historic mine
