Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3308158,Hay - Other crops cut for hay,,,np,,Hay,Other crops cut for hay,308,Northern Gulf,,,
3308158,Hay - Other crops cut for hay,,,np,,Hay,Other crops cut for hay,309,Queensland Murray Darling Basin,,,
3308158,Hay - Other crops cut for hay,5944834.8,**,5944834.8,**,Hay,Other crops cut for hay,311,South East Queensland,,,
3308158,Hay - Other crops cut for hay,1148828.31,**,1148828.31,**,Hay,Other crops cut for hay,313,Southern Gulf,,,
3308158,Hay - Other crops cut for hay,489917.78,**,489917.78,**,Hay,Other crops cut for hay,314,Terrain NRM,,,
3308158,Hay - Other crops cut for hay,1594747.59,*,1594747.59,*,Hay,Other crops cut for hay,401,Adelaide and Mount Lofty Ranges,,,
3308158,Hay - Other crops cut for hay,900872.54,*,900872.54,*,Hay,Other crops cut for hay,403,Eyre Peninsula,,,
3308158,Hay - Other crops cut for hay,780555.16,^,780555.16,^,Hay,Other crops cut for hay,404,Kangaroo Island,,,
3308158,Hay - Other crops cut for hay,10824848.82,*,10824848.82,*,Hay,Other crops cut for hay,405,Northern and Yorke,,,
3308158,Hay - Other crops cut for hay,70348.04,**,70348.04,**,Hay,Other crops cut for hay,406,South Australian Arid Lands,,,
3308158,Hay - Other crops cut for hay,2346111.65,^,2346111.65,^,Hay,Other crops cut for hay,407,South Australian Murray Darling Basin,,,
3308158,Hay - Other crops cut for hay,2483022.01,*,2483022.01,*,Hay,Other crops cut for hay,408,South East,,,
3308158,Hay - Other crops cut for hay,402612.32,*,402612.32,*,Hay,Other crops cut for hay,501,Northern Agricultural,,,
3308158,Hay - Other crops cut for hay,607215.55,^,607215.55,^,Hay,Other crops cut for hay,502,Peel-Harvey,,,
3308158,Hay - Other crops cut for hay,20095.05,^,20095.05,^,Hay,Other crops cut for hay,503,Perth,,,
3308158,Hay - Other crops cut for hay,3918716.78,^,3918716.78,^,Hay,Other crops cut for hay,504,Rangelands,,,
3308158,Hay - Other crops cut for hay,1216931.89,**,1216931.89,**,Hay,Other crops cut for hay,505,South Coast,,,
3308158,Hay - Other crops cut for hay,1668053.45,*,1668053.45,*,Hay,Other crops cut for hay,506,South West,,,
3308158,Hay - Other crops cut for hay,4944081.8,*,4944081.8,*,Hay,Other crops cut for hay,507,Wheatbelt,,,
3308158,Hay - Other crops cut for hay,259542.94,*,259542.94,*,Hay,Other crops cut for hay,601,Cradle Coast,,,
3308158,Hay - Other crops cut for hay,1185407.17,^,1185407.17,^,Hay,Other crops cut for hay,602,North,,,
3308158,Hay - Other crops cut for hay,207859.21,^,207859.21,^,Hay,Other crops cut for hay,603,South,,,
3308158,Hay - Other crops cut for hay,1993080.17,^,1993080.17,^,Hay,Other crops cut for hay,701,Northern Territory,,,
