"46270DO002_201617 Land Management and Farming in Australia, 2016�17",,,,,,,
Released at 11:30 am (Canberra time) 26 June 2018,,,,,,,
"Land Management and Farming in Australia, 2016-17 � Australia, States and Territories and NRM regions�2016-17",,,,,,,
,,,,,,,
Region code,Region label,Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors
0,Australia,LMPASTNOCULPAAHA_F,Crop and pasture management - Pasture land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"2,049,819",,"9,792",
0,Australia,LMPAST1CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - One cultivation - Area (ha),"552,155",,"5,358",
0,Australia,LMPAST2CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Two cultivations - Area (ha),"235,301",,"3,161",
0,Australia,LMPAST3CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Three or more cultivations - Area (ha),"105,456",^,"1,563",
0,Australia,LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"20,248,013",,"26,941",
0,Australia,LMPASTNOCULCRAHA_F,Crop and pasture management - Crop land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"15,997,649",,"15,391",
0,Australia,LMPAST1CULCRAHA_F,Crop and pasture management - Crop land cultivated - One cultivation - Area (ha),"2,506,668",,"7,986",
0,Australia,LMPAST2CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Two cultivations - Area (ha),"1,035,850",,"5,383",
0,Australia,LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"707,847",,"4,407",
0,Australia,LMCULTNUMAHA0_F,Crop and pasture management - Pasture and crop land cultivated - No cultivation (apart from sowing or planting) - Total area (ha),"18,047,467",,"20,955",
0,Australia,LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"3,058,823",,"11,691",
0,Australia,LMCULTNUMAHA2_F,Crop and pasture management - Pasture and crop land cultivated - Two cultivations - Total area (ha),"1,271,150",,"7,603",
0,Australia,LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"813,303",,"5,445",
0,Australia,LMCRSTMAHA_F,Crop stubble and/or trash management -Total area of broadacre crop stubble (ha),"20,623,268",,"25,575",
0,Australia,LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"2,169,332",,"7,326",
0,Australia,LMCRSTMHOBAHA_F,Crop stubble and/or trash management - Hot burn - Total area (ha),"1,411,642",,"4,159",
0,Australia,LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"190,883",*,466,^
0,Australia,LMCRSTMWDRAHA_F,Crop stubble and/or trash management - Windrowed and removed - Total area (ha),"673,451",,"1,853",
0,Australia,LMCRSTMINCSAHA_F,Crop stubble and/or trash management - Incorporated into soil - Total area (ha),"1,721,316",,"5,751",
0,Australia,LMCRSTMRETGAHA_F,Crop stubble and/or trash management - Retained on ground- Total area (ha),"5,729,091",,"8,600",
0,Australia,LMCRSTMRESAHA_F,Crop stubble and/or trash management - Retained standing - Total area (ha),"5,276,569",,"5,365",
0,Australia,LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"3,003,966",,"7,469",
0,Australia,LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"447,018",,"1,270",
0,Australia,LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"586,320",,"5,299",
0,Australia,LMCRROTAHALT6_F,Crop management - Crop land sown to pasture for six months or more of the year (ha),"814,249",,"7,552",
0,Australia,LMINTCROPNEW_F,Crop management - Intercropping practices - Total area (ha),"850,030",,"5,018",
0,Australia,LMINTCROPAHAMS_F,Crop management - Intercropping practices - Mixed inter-row/strip cropping - Area (ha),"359,727",^,966,
0,Australia,LMINTCROPAHARE_F,Crop management - Intercropping practices - Relay cropping - Area (ha),"25,747",*,110,*
0,Australia,LMINTCROPAHARA_F,Crop management - Intercropping practices - Row alley cropping - Area (ha),"28,646",^,211,^
0,Australia,LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"188,939",^,"1,947",
0,Australia,LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"204,729",^,"1,837",
0,Australia,LMINTCROPAHAOT_F,Crop management - Intercropping practices - Other intercropping practices - Area (ha),"42,243",*,241,^
0,Australia,LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"4,605,042",,"28,836",
0,Australia,LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"7,803,035",,"27,479",
0,Australia,LMSOILENHALT_F,Soil management - Soil enhancer use - All soil enhancers - Volume applied (L),"325,299,374",^,"1,793",
0,Australia,LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"209,072",,"3,239",
0,Australia,LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"930,011",,"3,209",
0,Australia,LMSOILENHALTCO_F,Soil management - Soil enhancer use - Compost - Volume applied (L),"7,014,332",,90,^
0,Australia,LMSOILENHAHAGM_F,Soil management - Soil enhancer use - Green manure - Area applied to (ha),"49,648",,"1,264",
0,Australia,LMSOILENHAHAMU_F,Soil management - Soil enhancer use - Mulch - Area applied to (ha),"14,549",^,930,
0,Australia,LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"134,385",^,929,
0,Australia,LMSOILENHALTMU_F,Soil management - Soil enhancer use - Mulch - Volume applied (L),np,,6,**
0,Australia,LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"2,178,253",,"14,487",
0,Australia,LMSOILENHATOLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Amount applied (t),"3,195,127",,"14,389",
0,Australia,LMSOILENHALTLM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Volume applied (L),np,,314,^
0,Australia,LMSOILENHAHADM_F,Soil management - Soil enhancer use - Dolomite - Area applied to (ha),"113,306",^,"1,946",
0,Australia,LMSOILENHATODM_F,Soil management - Soil enhancer use - Dolomite - Amount applied (t),"126,111",^,"1,898",
0,Australia,LMSOILENHALTDM_F,Soil management - Soil enhancer use - Dolomite - Volume applied (L),np,,65,*
0,Australia,LMSOILENHAHAGY_F,Soil management - Soil enhancer use - Gypsum - Area applied to (ha),"1,271,750",,"7,872",
0,Australia,LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"1,312,789",,"7,806",
0,Australia,LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),"157,366",^,165,^
0,Australia,LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),"4,319",*,109,*
0,Australia,LMSOILENHATOBI_F,Soil management - Soil enhancer use - Biochar - Weight applied (t),"5,268",*,108,*
0,Australia,LMSOILENHAHAPM_F,Soil management - Soil enhancer use - Poultry manure - Area applied to (ha),"254,485",,"3,976",
0,Australia,LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"701,891",,"3,950",
0,Australia,LMSOILENHALTPM_F,Soil management - Soil enhancer use - Poultry manure - Volume applied (L),"10,104,210",**,58,*
0,Australia,LMSOILENHAHABIO_F,Soil management - Soil enhancer use - BioDundar - Area applied to (ha),"91,302",^,676,
0,Australia,LMSOILENHATOBIO_F,Soil management - Soil enhancer use - BioDundar - Weight applied (t),"52,636",^,126,^
0,Australia,LMSOILENHALTBIO_F,Soil management - Soil enhancer use - BioDundar - Volume applied (L),"211,976,321",^,568,
0,Australia,LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"418,358",,"3,473",
0,Australia,LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"1,344,817",,"2,840",
0,Australia,LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"95,642,836",*,717,^
0,Australia,LMFINHIBAHA_F,Fertiliser - Fertiliser containing nitrification inhibitor - Area applied to (ha),"350,925",^,"1,294",
0,Australia,LMFINHIBATO_F,Fertiliser - Fertiliser containing nitrification inhibitor - Amount applied (t),"51,046",^,"1,204",
0,Australia,LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),"4,105,137",*,129,^
0,Australia,LMSLFERTAHANITRA_F,Fertiliser - Nitrate slow release fertiliser - Area applied to (ha),"1,634,941",,"4,758",
0,Australia,LMSLFERTATONITRA_F,Fertiliser - Nitrate slow release fertiliser - Weight applied (t),"151,418",,"4,758",
0,Australia,LMSLFERTAHAURE_F,Fertiliser - Urea slow release fertiliser - Area applied to (ha),"2,471,179",,"7,623",
0,Australia,LMSLFERTATOURE_F,Fertiliser - Urea slow release fertiliser - Weight applied (t),"291,260",,"7,622",
0,Australia,LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"877,169",^,"3,063",
0,Australia,LMSLFERTATOOT_F,Fertiliser - Other slow release fertiliser - Weight applied (t),"85,176",,"3,063",
0,Australia,AGFERTTYPEAHASSP_F,Fertiliser - Fertiliser use - Single superphosphate - Area applied to (ha),"5,317,004",,"15,840",
0,Australia,AGFERTTYPEATOSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Weight applied (t),"700,323",,"15,793",
0,Australia,AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),"80,863",^,202,^
0,Australia,AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"1,575,452",,"3,996",
0,Australia,AGFERTTYPEATODTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Weight applied (t),"176,067",,"3,970",
0,Australia,AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),"3,622",*,61,*
0,Australia,AGFERTTYPEAHAOPB_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Area applied to (ha),"3,752,402",,"6,311",
0,Australia,AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"358,631",,"6,136",
0,Australia,AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),"2,286,780",^,224,^
0,Australia,AGFERTTYPEAHAPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Area applied to (ha),"1,872,074",,"5,081",
0,Australia,AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"140,339",,"4,971",
0,Australia,AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),"221,357",^,163,^
0,Australia,AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"11,174,123",,"21,990",
0,Australia,AGFERTTYPEATOURE_F,Fertiliser - Fertiliser use - Urea - Weight applied (t),"1,387,038",,"21,828",
0,Australia,AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"4,904,764",,392,^
0,Australia,AGFERTTYPEAHAAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Area applied to (ha),"1,463,746",,"3,341",
0,Australia,AGFERTTYPEATOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Weight applied (t),"146,420",,"3,256",
0,Australia,AGFERTTYPEALOAMS_F,Fertiliser - Fertiliser use - Ammonium sulphate - Volume applied (L),"1,433,967",^,140,*
0,Australia,AGFERTTYPEAHAUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Area applied to (ha),"3,484,419",,"2,722",
0,Australia,AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"191,262,897",,"2,721",
0,Australia,AGFERTTYPEAHAANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Area applied to (ha),"261,212",,553,
0,Australia,AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),"35,411",,552,
0,Australia,AGFERTTYPEAHAPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Area applied to (ha),"157,798",,"2,296",
0,Australia,AGFERTTYPEATOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Weight applied (t),"25,094",,"2,296",
0,Australia,AGFERTTYPEALOPTN_F,Fertiliser - Fertiliser use - Potassium nitrate - Volume applied (L),"824,958",^,157,^
0,Australia,AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"13,191,808",,"19,267",
0,Australia,AGFERTTYPEATOAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Weight applied (t),"962,951",,"19,160",
0,Australia,AGFERTTYPEALOAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Volume applied (L),"1,825,890",^,311,^
0,Australia,AGFERTTYPEAHAONS_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Area applied to (ha),"2,081,659",,"6,805",
0,Australia,AGFERTTYPEATOONB_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Weight applied (t),"287,906",,"6,454",
0,Australia,AGFERTTYPELTRONB_F,Fertiliser - Fertiliser use - Other nitrogen-based fertilisers - Volume applied (L),"11,682,117",^,482,^
0,Australia,AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"1,067,835",,"3,554",
0,Australia,AGFERTTYPEATOOTH_F,Fertiliser - Fertiliser use - All other fertilisers - Weight applied (t),"125,064",,"3,124",
0,Australia,AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"9,543,550",*,521,^
0,Australia,LMFCROPAHAIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Area fertilised (ha),"266,072",,"2,877",
0,Australia,LMFCROPATOIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Weight applied (t),"69,646",,"2,656",
0,Australia,LMFCROPALTIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Irrigated pasture - Volume applied (L),"601,803",*,120,*
0,Australia,LMFCROPAHANIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Area fertilised (ha),"1,289,278",,"6,463",
0,Australia,LMFCROPATONIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Weight applied (t),"187,136",,"5,693",
0,Australia,LMFCROPALTNIP_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Non-irrigated pasture - Volume applied (L),"1,596,572",^,252,^
0,Australia,LMFCROPAHASC_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Sugar cane - Area fertilised (ha),"319,667",,"2,940",
0,Australia,LMFCROPATOSC_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Sugar cane - Weight applied (t),"146,635",,"2,686",
0,Australia,LMFCROPALTSC_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Sugar cane - Volume applied (L),"9,490,750",*,159,^
0,Australia,LMFCROPAHACOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Area fertilised (ha),"405,202",,856,
0,Australia,LMFCROPATOCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Weight applied (t),"150,518",,804,
0,Australia,LMFCROPALTCOT_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Cotton - Volume applied (L),"5,316,945",,51,*
0,Australia,LMFCROPAHARI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Rice - Area fertilised (ha),"70,469",,600,
0,Australia,LMFCROPATORI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Rice - Weight applied (t),"23,286",,585,
0,Australia,LMFCROPALTRI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Rice - Volume applied (L),np,,np,
0,Australia,LMFCROPAHAOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Area fertilised (ha),"453,697",,"4,643",
0,Australia,LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"139,788",,"4,095",
0,Australia,LMFCROPALTOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Volume applied (L),"18,439,371",^,731,
0,Australia,LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"12,359,162",,"12,188",
0,Australia,LMFCROPATOOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Weight applied (t),"1,285,598",,"11,360",
0,Australia,LMFCROPALTOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Volume applied (L),"120,200,776",,"1,352",
9991,New South Wales and Australian Capital Territory,AGLANDTOTLAHA_F,Area of holding (ha) (a),"55,438,874",,"26,267",
9991,New South Wales and Australian Capital Territory,AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"2,224,872",,"17,304",
9991,New South Wales and Australian Capital Territory,AGNONPROD_AHACON_F,Land use - Land set aside for conservation/protection purposes - Area (ha) (b),"1,123,106",,"7,590",
9991,New South Wales and Australian Capital Territory,AGNONPROD_AHAOTH_F,Land use - Other areas not used for agricultural production - Area (ha) (c),"1,101,766",^,"15,939",
9991,New South Wales and Australian Capital Territory,AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"51,657,430",,"25,277",
9991,New South Wales and Australian Capital Territory,AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"8,742,205",,"13,820",
9991,New South Wales and Australian Capital Territory,AGLANDGRAZEHA_F,Land use - Land mainly used for grazing - Total area (ha) (e),"42,573,891",,"20,622",
9991,New South Wales and Australian Capital Territory,AGPROD_AHAGRI_F,Land use - Land mainly used for grazing - Grazing on improved pastures - Area (ha),"8,670,978",,"15,092",
9991,New South Wales and Australian Capital Territory,AGPROD_AHAGRO_F,Land use - Land mainly used for grazing - Grazing on other land - Area (ha) (f),"33,902,913",,"12,700",
9991,New South Wales and Australian Capital Territory,AGPROD_AHACRGR_D,Land use - Land mainly used for cropping and improved pastures - Total area (ha),"17,413,183",,"21,792",
9991,New South Wales and Australian Capital Territory,AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"319,674",,"1,552",
9991,New South Wales and Australian Capital Territory,AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"61,848",*,474,^
9991,New South Wales and Australian Capital Territory,AGPRODFORNATAHA_F,Land use - Land mainly used for forestry - Native forest - Area (ha),"257,826",^,"1,254",
9991,New South Wales and Australian Capital Territory,AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"21,660",^,856,
9991,New South Wales and Australian Capital Territory,AGLANDLSAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land sold (ha),"773,359",^,756,^
9991,New South Wales and Australian Capital Territory,AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"405,392",^,603,^
9991,New South Wales and Australian Capital Territory,AGLANDLSAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land sold (ha),347,**,12,**
9991,New South Wales and Australian Capital Territory,AGLANDLLVAHAUDV_F,Agricultural land vacated - Use of land after vacation - Urban development - Area of land leased out or vacated (ha),np,,22,**
9991,New South Wales and Australian Capital Territory,AGLANDLLVAHAMNG_F,Agricultural land vacated - Use of land after vacation - Mining - Area of land leased out or vacated (ha),np,,np,
9991,New South Wales and Australian Capital Territory,AGLANDLSAHAOTH_F,Agricultural land vacated - Use of land after vacation - Other/unknown - Area of land sold (ha),"30,889",**,57,*
9991,New South Wales and Australian Capital Territory,AGLANDLLVAHAOTH_F,Agricultural land vacated - Use of land after vacation - Other/unknown - Area of land leased out or vacated (ha),762,*,25,*
9991,New South Wales and Australian Capital Territory,AGLANDSOLDHA_F,Agricultural land vacated - Land sold during the reference period - Total area (ha),"804,594",^,825,^
9991,New South Wales and Australian Capital Territory,AGLANDLEAVACHA_F,Agricultural land vacated - Land leased out or vacated during the reference period - Total area (ha),"409,310",^,652,^
9991,New South Wales and Australian Capital Territory,LMPAST100ANPAHA_F,Pasture management - Area 100 percent annual pasture - Area (ha),"904,639",^,"2,578",
9991,New South Wales and Australian Capital Territory,LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"2,934,195",,"5,377",
9991,New South Wales and Australian Capital Territory,LMPAST100PERAHA_F,Pasture management - Area 100 percent perennial pasture - Area (ha),"1,205,550",^,"2,486",
9991,New South Wales and Australian Capital Territory,LMLANDCRPPAS_F,Crop and pasture management - Pasture and crop land cultivated - Total area cultivated (ha),"6,204,005",,"11,322",
9991,New South Wales and Australian Capital Territory,LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"857,612",,"5,694",
9991,New South Wales and Australian Capital Territory,LMPASTNOCULPAAHA_F,Crop and pasture management - Pasture land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"551,068",,"3,414",
9991,New South Wales and Australian Capital Territory,LMPAST1CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - One cultivation - Area (ha),"176,585",^,"1,827",
9991,New South Wales and Australian Capital Territory,LMPAST2CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Two cultivations - Area (ha),"91,272",^,904,
9991,New South Wales and Australian Capital Territory,LMPAST3CULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Three or more cultivations - Area (ha),"38,687",^,435,^
9991,New South Wales and Australian Capital Territory,LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"5,346,393",,"8,426",
9991,New South Wales and Australian Capital Territory,LMPASTNOCULCRAHA_F,Crop and pasture management - Crop land cultivated - No cultivation (apart from sowing or planting) - Area (ha),"3,761,717",,"4,940",
9991,New South Wales and Australian Capital Territory,LMPAST1CULCRAHA_F,Crop and pasture management - Crop land cultivated - One cultivation - Area (ha),"774,826",,"2,673",
9991,New South Wales and Australian Capital Territory,LMPAST2CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Two cultivations - Area (ha),"517,023",,"2,113",
9991,New South Wales and Australian Capital Territory,LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"292,826",,"1,161",
9991,New South Wales and Australian Capital Territory,LMCULTNUMAHA0_F,Crop and pasture management - Pasture and crop land cultivated - No cultivation (apart from sowing or planting) - Total area (ha),"4,312,785",,"6,861",
9991,New South Wales and Australian Capital Territory,LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"951,412",,"3,873",
9991,New South Wales and Australian Capital Territory,LMCULTNUMAHA2_F,Crop and pasture management - Pasture and crop land cultivated - Two cultivations - Total area (ha),"608,295",,"2,704",
9991,New South Wales and Australian Capital Territory,LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"331,514",,"1,471",
9991,New South Wales and Australian Capital Territory,LMCRSTMAHA_F,Crop stubble and/or trash management -Total area of broadacre crop stubble (ha),"5,596,789",,"8,236",
